[Fe/H],[Eu/Fe],[Mg/Fe],
-1.94,0.79,0.04,0.75
-1.6,0.06,0.21,-0.15
-1.65,0.38,-0.29,0.67
-1.82,0.84,-0.23,1.07
-1.41,0.03,0.22,-0.19
-1.29,0.55,0.12,0.43
-1.59,0.18,0.24,-0.06
-1.3,0.33,0.09,0.24
-1.61,0.52,0.33,0.19
-1.68,0.44,0.3,0.14
-1.58,0.4,0.19,0.21
-1.35,0.62,0.1,0.52
-1.5,0.85,0.16,0.69
-1.78,0.95,0.04,0.91
-1.53,0.47,0.19,0.28
-1.28,0.44,0.09,0.35
-2.15,0.13,-0.36,0.49
-1.48,0.8,0.26,0.54
