4014.0920,0.9421,11337.1739
4014.1313,0.9401,11406.6042
4014.1706,0.9390,11398.2116
4014.2099,0.9340,11410.4967
4014.2493,0.9425,11384.3853
4014.2886,0.9322,11558.3591
4014.3279,0.9475,11480.8648
4014.3672,0.9354,11576.5204
4014.4065,0.9111,11908.4983
4014.4458,0.8199,13111.0440
4014.4851,0.6847,15344.5940
4014.5244,0.6463,16038.7162
4014.5637,0.7602,13877.7601
4014.6030,0.8783,12142.9308
4014.6424,0.9257,11546.1961
4014.6817,0.9424,11419.9631
4014.7210,0.9456,11399.1649
4014.7603,0.9306,11526.9234
4014.7996,0.9481,11340.0517
4014.8389,0.9439,11357.8205
4014.8782,0.9229,11632.2764
4014.9175,0.9342,11377.0291
4014.9568,0.9451,11287.8610
4014.9962,0.9625,11207.9849
4015.0355,0.9484,11233.2492
4015.0748,0.9487,11233.2331
4015.1141,0.9551,11159.5722
4015.1534,0.9381,11295.3298
4015.1927,0.9469,11248.1555
4015.2320,0.9426,11253.3871
4015.2713,0.9476,11303.6118
4015.3106,0.9524,11209.8714
4015.3499,0.9330,11390.6462
4015.3893,0.9312,11468.4511
4015.4286,0.9573,11263.2083
4015.4679,0.9428,11397.9594
4015.5072,0.9305,11505.3623
4015.5465,0.9019,11850.3871
4015.5858,0.9089,11824.2082
4015.6251,0.9114,11634.6002
4015.6644,0.9351,11286.9101
4015.7037,0.9343,11306.6435
4015.7430,0.9486,11157.8787
4015.7824,0.9520,11092.5176
4015.8217,0.9480,11140.7846
4015.8610,0.9501,11140.6538
4015.9003,0.9505,11123.9818
4015.9396,0.9671,10961.2691
4015.9789,0.9507,11176.0986
4016.0182,0.9490,11179.0467
4016.0575,0.9607,11017.3689
4016.0968,0.9678,10940.9833
4016.1362,0.9528,11110.4884
4016.1755,0.9730,10923.9017
4016.2148,0.9548,11102.8017
4016.2541,0.9529,11097.3866
4016.2934,0.9590,11116.5727
4016.3327,0.9496,11227.5912
4016.3720,0.9285,11417.8027
4016.4113,0.9143,11588.3623
4016.4506,0.9175,11471.1911
4016.4899,0.9390,11234.0898
4016.5293,0.9584,11079.9643
4016.5686,0.9617,11074.3081
4016.6079,0.9572,11089.4230
4016.6472,0.9598,11035.6225
4016.6865,0.9525,11069.7489
4016.7258,0.9762,10891.3803
4016.7651,0.9716,10940.5300
4016.8044,0.9729,10892.3630
4016.8437,0.9507,11064.2633
4016.8830,0.9597,11015.6661
4016.9224,0.9459,11125.8823
4016.9617,0.9377,11211.9022
4017.0010,0.9120,11479.5009
4017.0403,0.8621,12161.3826
4017.0796,0.7871,13212.5276
4017.1189,0.7354,13991.6228
4017.1582,0.7871,13157.8954
4017.1975,0.8708,12035.5021
4017.2368,0.9136,11547.0806
4017.2762,0.9272,11423.3407
4017.3155,0.9460,11212.6223
4017.3548,0.9467,11243.8505
4017.3941,0.9511,11132.8825
