Name,v_x(km/s),v_z(km/s),v_phi(km/s)
HE 0516-3820,-23.91914549,-35.75509192,-109.3130988
HE 0524-2055,-109.887376,-74.87004765,-99.81079121
2MASS J05311779-5810048,-125.8366257,47.13501771,-84.08475047
HE 0534-4615,-192.035277,-63.31513244,-51.61064956
2MASS J05381700-7516207,-83.74054982,48.83859083,-142.4715211
2MASS J05383296-5904280,-60.74854786,-122.0444917,-104.5800454
HE 0538-4515,-23.69656573,46.61421415,-172.5594631
2MASS J05521578-3953184,74.39666023,-15.9663855,-97.57226221
2MASS J05564771-6639054,-182.5303385,-28.57270654,-33.19303053
2MASS J06090353-7122260,-70.41009371,125.5854056,39.46600252
2MASS J06195001-5312114,62.43869274,-127.691237,-154.5632771
SMSS J062609.83-590503.2,103.3382279,97.72105376,-305.0342751
2MASS J06290787-6709523,-5.131277379,103.3927133,-141.0211785
2MASS J06320130-2026538,-65.07373106,73.30668289,-151.4046665
2MASS J06332771-3519240,215.3265429,-4.735304961,89.56682954
SMSS J063447.15-622355.0,195.7985392,158.6817128,-348.5528057
2MASS J06392518-7414056,14.16525274,27.44017486,-107.2943231
2MASS J06401317-3540444,70.25531003,95.06218659,-18.58700585
2MASS J07052028-3343242,-288.7992763,-35.00481047,6.985216056
2MASS J07150266-0154092,21.46507031,-12.12561082,-251.0637069
2MASS J07161594-5135248,-34.1490767,-72.13769394,48.6663648
2MASS J07202253-3358518,181.2342738,394.231912,3.513566393
2MASS J07250021-7022038,129.0729717,-17.38367737,76.74289889
2MASS J07352232-4425010,204.4888289,51.60240448,5.966571617
2MASS J07393021-5548171,-111.6210637,-90.86312358,43.53368371
BD-01:1792,151.1534304,59.28660595,-13.06403409
2MASS J07411443-4339360,-236.2848905,143.7423325,202.2368816
2MASS J07501424-4123454,-282.2309494,-35.45838648,58.84434354
2MASS J08015897-5752032,-256.7129558,54.7147358,-136.1258076
2MASS J08032084-5856521,28.26785263,-51.98359868,-127.1488183
2MASS J08134364-2332528,-0.469861559,-95.35324401,-105.7674498
2MASS J08155667-2204105,-80.32759571,-138.6049531,18.41381731
2MASS J08393460-2122069,142.7849101,-83.21436518,19.75029702
2MASS J08594093-1415151,-186.857978,102.2682575,34.62209771
2MASS J09185890-2311511,-296.4799777,116.5398705,-186.1151298
2MASS J09255655-3450373,130.0986616,-49.16078593,42.34090357
2MASS J09261133-1526232,-291.0933487,26.05075588,49.38791487
2MASS J09284944-0738585,-67.782581,15.36986365,-146.4563271
2MASS J09364069-2038386,125.3435722,30.46325134,121.0965411
2MASS J09463483-0626532,-119.2556549,128.9791965,-13.25642116
2MASS J09544277+5246414,-130.7464383,-108.2769602,149.4290621
2MASS J09574607-3923072,-78.61492084,-53.47692249,-120.5147407
2MASS J09580181-1446137,-129.9558256,224.2660878,4.052538955
2MASS J10025125-4331098,-0.034233521,-79.82686963,14.87894629
2MASS J10044858-2706500,63.95433527,123.5975558,10.09464294
2MASS J10063414-7030212,-52.84960385,-105.6916632,-114.7676361
2MASS J10082492-2314124,-103.0020932,39.77437021,-149.2217365
BPS BS 15621-047,58.61189522,-39.95258309,-203.5243204
2MASS J10121964-3221347,-201.1480551,49.99343916,25.02324066
2MASS J10191573-1924464,1.35695105,-2.736839075,-151.8714984
2MASS J10194932-4900584,-268.0562488,3.362032757,2.600217502
2MASS J10223779-3400209,-66.57423779,-41.27432938,49.12124262
2MASS J10302845-7543299,122.9360467,-32.67096145,27.71547511
2MASS J10345348-1117221,-98.83256452,-0.321786268,-44.38184462
2MASS J10362687-3746174,85.1674227,-14.54828772,-60.28868856
2MASS J10401894-4106124,-29.98502434,-220.5334867,-212.8863417
HE 1044-2509,69.78284045,133.7617141,163.2482967
2MASS J10492192-1154173,-37.86991294,1.692990857,-19.35227211
2MASS J10513692-2115466,-12.41935894,-26.42940386,-87.16634974
SMSS J105320.99-435300.1,293.5273008,-19.13399345,-497.3033612
J1054+0528,-79.94164132,-19.74516367,-118.9886668
2MASS J10594136-2052253,71.19582823,58.31041095,-41.72798437
2MASS J11014865-3749526,155.5379986,2.017407116,83.21930881
2MASS J11165400-7250160,66.42484184,-126.0261868,-23.07656217
LAMOST J112456.61+453531.,41.04919682,123.2988045,20.38406107
2MASS J11301705-1449325,-79.7569461,-107.2477056,-169.3245726
2MASS J11303693+0224037,-102.9520666,47.2832304,-13.20042382
2MASS J11370170-5401298,106.6235669,65.10099106,-117.1358584
2MASS J11404726-0833030,1.060265192,35.48221003,-25.27593135
2MASS J11404944-1615396,-158.2813423,0.588033126,-0.44701394
BD+26:2251,-326.0845754,107.3926037,-44.61652339
2MASS J11444086-0409511,-72.90024071,-62.21060957,352.3551071
2MASS J11444480-1128167,-216.9659935,7.818157614,26.68824195
2MASS J11463882-0422395,-22.06195768,72.81450269,-19.73779813
2MASS J11471027+0341265,-232.8937472,-2.704012879,234.5654296
2MASS J11472988-0521444,-305.477928,79.17714577,-80.80057465
2MASS J11510227-6940416,42.51593059,-2.1731724,7.496590204
HD 103095,291.5424616,-5.568829345,-86.85507479
2MASS J11543613-0133450,-375.7989317,-56.53298092,-21.53212889
2MASS J12044314-2911051,-184.3591438,-84.70907201,-105.79562
2MASS J12045624-0759232,-173.9154038,146.7968443,126.5829816
2MASS J12070990-3653243,-44.7085793,-143.6524556,9.045509051
2MASS J12091322-1415313,154.1242446,115.9374002,31.86338344
2MASS J12102259-4902190,245.9056143,-89.59682554,-18.16307798
HD 106373,-280.1278412,63.25097224,-68.81326416
HD 107752,-118.2498662,126.4352159,133.8766365
2MASS J12233047-4216365,-175.0233604,11.73758359,-129.7991719
2MASS J12255123-2351074,91.695296,108.501516,-169.1786981
HD 108317,-108.2585787,-7.014059893,-150.3947066
HD 108577,-179.9741477,-175.923878,37.08227151
2MASS J12292696-0442325,-243.7987277,9.229531469,69.16434024
HE 1226-1149,100.7548897,166.7751632,-246.4696785
2MASS J12341308-3149577,113.4048499,-150.6731947,89.74272598
2MASS J12351734+0945333,-11.23701526,-39.94870647,-139.7426367
2MASS J12405721-4051430,158.7986599,17.60995098,-14.45619157
2MASS J12503987-0307485,-13.7406576,227.8077349,243.4046623
2MASS J12535742-3801355,-62.14034894,-338.8425771,193.7695958
2MASS J12571667-4335318,51.88292877,58.95331103,-106.9408036
HE 1256-0228,61.14251091,-15.56089212,-116.7920434
2MASS J12591462-7049592,-61.56512956,-43.10481909,-16.16658545
BPS BS 16929-005,-79.92593065,-28.12530399,-110.7610368
2MASS J13052137-1137220,58.92075892,-169.1018096,19.48546874
2MASS J13101305-3342369,-27.42656851,-22.39461659,-137.7939991
BPS CS 22877-015,-8.879343441,31.21633498,-51.35161718
HD 115444,159.239129,14.76976349,-72.28608584
2MASS J13164824-2743351,-274.3778726,62.56399207,15.35998017
BPS BS 16033-081,-46.27859016,-89.50715271,79.60495241
2MASS J13214178-4320055,24.78499472,79.45067353,-8.731515158
2MASS J13254554-1747547,-236.3045665,-86.11195433,86.10928309
2MASS J13261792-0945176,-80.95851817,8.408658488,70.79113476
2MASS J13315746-1929446,-61.23684762,-4.599062257,-152.3911245
HD 118055,-119.421777,-101.8202799,-149.2276146
SMSS J133532.32-210632.9,-69.18470155,20.21742498,94.39774289
2MASS J13374885-0826176,-83.55257209,13.31745916,-113.0505963
2MASS J13425404-0717005,218.1570404,160.2790521,-211.8608578
HD 119516,-144.6002403,-247.7017799,-149.2936083
BPS BS 16089-013,135.9844045,-184.2837236,68.62771321
2MASS J13494713-7423395,11.78457192,-120.6659784,-20.8399551
2MASS J13511539-7340363,304.2649141,4.232116289,70.65955295
2MASS J13524835+1254216,169.7184292,-154.5341505,1.364634799
2MASS J14004919+4551581,-350.064871,187.8564035,-60.51679122
2MASS J14032900-5250429,-20.98767294,-9.171381191,-48.4087075
2MASS J14043762+0011117,-185.1663909,62.8124903,-49.67350727
HD 122956,18.80480628,118.7862349,-23.71328694
2MASS J14101587-0343553,134.7385226,-25.1734199,-107.5116024
2MASS J14155955-3219255,-161.5446223,-126.4202912,-202.2262759
2MASS J14180866-2842077,159.7997007,-84.54145657,11.67767693
2MASS J14191395-0844410,-107.192396,74.44438481,-161.0589617
BD+01:2916,-97.73354521,19.07385854,19.7688502
2MASS J14232679-2834200,-16.25449691,-64.21813359,119.3811637
2MASS J14234371-4025526,208.4372382,-178.3988693,-258.53237
BD+08:2856,190.5193399,-20.15262102,-158.7919732
2MASS J14301385-2317388,-58.78085216,168.8772638,342.8212472
BD+18:2890,191.4581142,-72.85055817,49.72479462
HE 1429-0347,-197.7729918,-116.1911737,-176.5933072
2MASS J14325334-4125494,-330.5180688,-103.6231818,-150.2651408
HE 1430+0053,-159.7554836,-49.92804629,91.49768488
2MASS J14354680-1124122,-4.16379595,-11.54151733,-200.5539899
BPS BS 16083-172,121.4863591,-81.77778976,-75.10331314
2MASS J14543792+0830379,-6.307699575,52.62233698,-48.52517102
2MASS J14590234-0916105,263.818224,-137.1317333,82.91201481
2MASS J14592981-3852558,100.9261485,99.59797863,136.232661
2MASS J15002498-0613374,-132.4331717,43.4106758,-245.5809608
2MASS J15042611-2231523,-117.9691198,142.719034,-161.9963982
2MASS J15062866-1428038,-29.59444058,40.92842533,-160.346281
BD+30:2611,-4.778826597,-284.2314745,-171.6182782
2MASS J15075699-0659593,-50.51920384,252.8998026,7.169927534
2MASS J15083385-1459166,-103.8779546,132.5749256,-76.04997175
HD 134440,314.3109241,-63.50879308,270.0776375
2MASS J15111672+0025252,-143.7258674,-56.07323009,181.535837
HD 135148,-291.972505,164.4212829,48.68043955
2MASS J15133549-1244339,14.31393331,-50.77976172,89.63866225
