# Object,[Fe/H],[Zn/Fe]
SAGA_Scl_000021,-1.65,
SAGA_Scl_000021,-1.58,
SAGA_Scl_000022,-1.74,
SAGA_Scl_000022,-1.93,0.24
SAGA_Scl_000022,-1.91,
SAGA_Scl_000022,-1.93,
SAGA_Scl_000022,-1.65,
SAGA_Scl_000024,-1.83,
SAGA_Scl_000024,-1.74,0.64
SAGA_Scl_000024,-2.03,
SAGA_Scl_000024,-1.72,
SAGA_Scl_000024,-1.74,
SAGA_Scl_000024,-1.98,
SAGA_Scl_000024,-2.02,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,0.15
SAGA_Scl_000027,-1.18,0.32
SAGA_Scl_000027,-1.16,
SAGA_Scl_000027,-1.18,
SAGA_Scl_000028,-2.16,
SAGA_Scl_000028,-2.04,0.34
SAGA_Scl_000028,-2.02,
SAGA_Scl_000028,-2.04,
SAGA_Scl_000028,-2.54,
SAGA_Scl_000028,-2.23,
SAGA_Scl_000029,-1.45,
SAGA_Scl_000029,-1.5,0.54
SAGA_Scl_000029,-1.57,
SAGA_Scl_000029,-1.48,
SAGA_Scl_000029,-1.5,
SAGA_Scl_000029,-1.41,
SAGA_Scl_000029,-1.55,
SAGA_Scl_000030,-1.12,
SAGA_Scl_000030,-1.07,0.22
SAGA_Scl_000030,-1.25,
SAGA_Scl_000030,-1.05,
SAGA_Scl_000030,-1.07,
SAGA_Scl_000030,-1.08,
SAGA_Scl_000030,-1.24,
SAGA_Scl_000031,-1.96,
SAGA_Scl_000031,-1.8,0.24
SAGA_Scl_000031,-1.89,
SAGA_Scl_000031,-1.78,
SAGA_Scl_000031,-1.8,
SAGA_Scl_000031,-1.81,
SAGA_Scl_000031,-1.88,
SAGA_Scl_000032,-1.47,0.84
SAGA_Scl_000032,-1.45,
SAGA_Scl_000032,-1.47,
SAGA_Scl_000032,-1.49,
SAGA_Scl_000033,-1.9,0.48
SAGA_Scl_000033,-1.89,
SAGA_Scl_000033,-1.9,
SAGA_Scl_000034,-1.81,
SAGA_Scl_000034,-1.89,0.42
SAGA_Scl_000034,-1.87,
SAGA_Scl_000034,-1.89,
SAGA_Scl_000034,-1.83,
SAGA_Scl_000034,-1.84,
SAGA_Scl_000035,-2.35,0.1
SAGA_Scl_000035,-2.33,
SAGA_Scl_000035,-2.35,
SAGA_Scl_000035,-2.78,
SAGA_Scl_000036,-1.46,0.32
SAGA_Scl_000036,-1.44,
SAGA_Scl_000036,-1.46,
SAGA_Scl_000036,-1.62,
SAGA_Scl_000037,-0.97,
SAGA_Scl_000037,-1.08,0.28
SAGA_Scl_000037,-1.06,
SAGA_Scl_000037,-1.07,
SAGA_Scl_000037,-1.08,
SAGA_Scl_000037,-0.85,
SAGA_Scl_000037,-1.05,
SAGA_Scl_000038,-2.01,
SAGA_Scl_000038,-1.86,0.44
SAGA_Scl_000038,-1.84,
SAGA_Scl_000038,-1.86,
SAGA_Scl_000038,-2.15,
SAGA_Scl_000038,-2.17,
SAGA_Scl_000038,-1.97,
SAGA_Scl_000038,-2.01,
SAGA_Scl_000039,-1.47,
SAGA_Scl_000039,-1.41,0.6
SAGA_Scl_000039,-1.39,
SAGA_Scl_000039,-1.41,
SAGA_Scl_000039,-1.27,
SAGA_Scl_000039,-1.35,
SAGA_Scl_000041,-2.16,0.3
SAGA_Scl_000041,-2.14,
SAGA_Scl_000041,-2.16,
SAGA_Scl_000043,-2.21,
SAGA_Scl_000043,-1.96,0.36
SAGA_Scl_000043,-2.43,
SAGA_Scl_000043,-1.94,
SAGA_Scl_000043,-1.96,
SAGA_Scl_000043,-2.26,
SAGA_Scl_000043,-2.41,
SAGA_Scl_000044,-1.28,0.5
SAGA_Scl_000044,-1.26,
SAGA_Scl_000044,-1.28,
SAGA_Scl_000045,-1.74,
SAGA_Scl_000045,-1.71,0.18
SAGA_Scl_000045,-1.84,
SAGA_Scl_000045,-1.69,
SAGA_Scl_000045,-1.71,
SAGA_Scl_000045,-1.92,
SAGA_Scl_000045,-1.68,
SAGA_Scl_000045,-1.83,
SAGA_Scl_000046,-1.17,
SAGA_Scl_000046,-1.32,0.5
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.32,
SAGA_Scl_000046,-1.11,
SAGA_Scl_000046,-1.3,
SAGA_Scl_000047,-2.13,
SAGA_Scl_000047,-2,0.38
SAGA_Scl_000047,-1.98,
SAGA_Scl_000047,-2,
SAGA_Scl_000047,-2.13,
SAGA_Scl_000048,-1.17,0.7
SAGA_Scl_000048,-1.15,
SAGA_Scl_000048,-1.17,
SAGA_Scl_000049,-1.23,
SAGA_Scl_000049,-0.93,0.5
SAGA_Scl_000049,-1.19,
SAGA_Scl_000049,-0.91,
SAGA_Scl_000049,-0.93,
SAGA_Scl_000049,-0.96,
SAGA_Scl_000049,-1.17,
SAGA_Scl_000050,-1.62,0.4
SAGA_Scl_000050,-1.6,
SAGA_Scl_000050,-1.62,
SAGA_Scl_000053,-1.48,0.06
SAGA_Scl_000053,-1.46,
SAGA_Scl_000053,-1.48,
SAGA_Scl_000054,-1.11,0.22
SAGA_Scl_000054,-1.09,
SAGA_Scl_000054,-1.11,
SAGA_Scl_000055,-1.21,0.14
SAGA_Scl_000055,-1.19,
SAGA_Scl_000055,-1.21,
SAGA_Scl_000056,-1.1,0.4
SAGA_Scl_000056,-1.08,
SAGA_Scl_000056,-1.1,
SAGA_Scl_000057,-1.63,
SAGA_Scl_000057,-1.85,0.1
SAGA_Scl_000057,-1.67,
SAGA_Scl_000057,-1.83,
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.46,
SAGA_Scl_000059,-1.97,0.42
SAGA_Scl_000059,-1.95,
SAGA_Scl_000059,-1.97,
SAGA_Scl_000060,-1.35,
SAGA_Scl_000060,-1.33,0.08
SAGA_Scl_000060,-1.43,
SAGA_Scl_000060,-1.31,
SAGA_Scl_000060,-1.33,
SAGA_Scl_000060,-1.24,
SAGA_Scl_000060,-1.42,
SAGA_Scl_000061,-1.22,
SAGA_Scl_000061,-1.33,0.4
SAGA_Scl_000061,-1.31,
SAGA_Scl_000061,-1.33,
SAGA_Scl_000061,-1.05,
SAGA_Scl_000065,-1.21,0.64
SAGA_Scl_000065,-1.2,
SAGA_Scl_000065,-1.21,
SAGA_Scl_000065,-1.54,
SAGA_Scl_000066,-1.2,
SAGA_Scl_000066,-1.24,0.22
SAGA_Scl_000066,-1.29,
SAGA_Scl_000066,-1.22,
SAGA_Scl_000066,-1.24,
SAGA_Scl_000066,-1.09,
SAGA_Scl_000066,-1.27,
SAGA_Scl_000067,-1.24,
SAGA_Scl_000067,-1.3,0.52
SAGA_Scl_000067,-1.34,
SAGA_Scl_000067,-1.28,
SAGA_Scl_000067,-1.3,
SAGA_Scl_000067,-1.08,
SAGA_Scl_000067,-1.32,
SAGA_Scl_000068,-1.45,
SAGA_Scl_000068,-1.5,0.44
SAGA_Scl_000068,-1.51,
SAGA_Scl_000068,-1.48,
SAGA_Scl_000068,-1.5,
SAGA_Scl_000068,-1.38,
SAGA_Scl_000068,-1.49,
SAGA_Scl_000069,-0.84,
SAGA_Scl_000069,-1.24,0.24
SAGA_Scl_000069,-1.23,
SAGA_Scl_000069,-1.24,
SAGA_Scl_000069,-0.81,
SAGA_Scl_000070,-2.26,0.54
SAGA_Scl_000070,-2.24,
SAGA_Scl_000070,-2.26,
SAGA_Scl_000070,-2.66,
SAGA_Scl_000070,-2.09,
SAGA_Scl_000071,-1.38,0.4
SAGA_Scl_000071,-1.36,
SAGA_Scl_000071,-1.38,
SAGA_Scl_000072,-1.54,
SAGA_Scl_000072,-1.57,0.52
SAGA_Scl_000072,-1.66,
SAGA_Scl_000072,-1.55,
SAGA_Scl_000072,-1.57,
SAGA_Scl_000072,-1.78,
SAGA_Scl_000072,-1.51,
SAGA_Scl_000072,-1.65,
SAGA_Scl_000073,-1.1,
SAGA_Scl_000073,-1,0.84
SAGA_Scl_000073,-1.21,
SAGA_Scl_000073,-0.98,
SAGA_Scl_000073,-1,
SAGA_Scl_000073,-1.45,
SAGA_Scl_000073,-0.99,
SAGA_Scl_000073,-1.19,
SAGA_Scl_000074,-1.41,
SAGA_Scl_000074,-1.53,0.08
