JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Co/Fe
327,ROE14b,CS22182-033,2MASS_J04231047-3037041, -2.65,0.08
348,ROE14b,HE0454-4758,2MASS_J04552670-4753417, -3.38,0.12
392,ROE14b,HE1012-1540,2MASS_J10145347-1555532, -4.17,0.26
410,ROE14b,G146-76,2MASS_J10595749+4446439, -2.08, -0.42
420,ROE14b,HE1124-2335,2MASS_J11272694-2352056, -3.36,0.11
512,ROE14b,CS22877-001,2MASS_J13135537-1211415, -3.31, -0.1
617,ROE14b,CS22890-024,2MASS_J15160539-0003578, -2.77,0.02
625,ROE14b,CS30312-059,2MASS_J15344884-0123372, -3.41,0.02
630,ROE14b,CS30312-100,2MASS_J15433166+0201174, -2.69, -0.06
632,ROE14b,CS22884-108,2MASS_J15495758-0914092, -3.1,0.34
649,ROE14b,CS22878-101,2MASS_J16453144+0814454, -3.53, -0.01
671,ROE14b,CS22891-200,2MASS_J19351908-6142243, -4.06, -0.18
676,ROE14b,CS22891-209,2MASS_J19420216-6103446, -3.49,0.03
692,ROE14b,CS22873-128,2MASS_J20070379-5834575, -3.32,0.0
701,ROE14b,CS22885-096,2MASS_J20205117-3953301, -4.41,0.3
706,ROE14b,CS22950-046,2MASS_J20212839-1316336, -4.12,0.02
708,ROE14b,CS22943-137,2MASS_J20262899-4300426, -3.64,0.41
714,YON13,CS30336-049,2MASS_J20452353-2842359, -4.1,0.38
722,ROE14b,CS30314-067,2MASS_J20525098-3419405, -3.31, -0.55
727,ROE14b,CS22897-008,2MASS_J21031185-6505088, -3.83,0.15
735,ROE14b,CS29498-043,2MASS_J21035211-2942502, -3.87, -0.26
743,ROE14b,CS30492-001,2MASS_J21055523-4210101, -2.62,0.02
745,ROE14b,CS30492-110,2MASS_J21214583-3808579, -3.27,0.04
763,ROE14b,CS29495-042,2MASS_J21391140-2817544, -2.54, -0.26
772,ROE14b,CS22944-032,2MASS_J21474322-1340227, -3.22,0.18
784,ROE14b,CS22965-016,2MASS_J21570791-0434083, -3.13,0.08
790,ROE14b,CS22956-050,2MASS_J21580583-6513271, -3.67,0.14
811,ROE14b,CS22881-036,2MASS_J22075843-4044164, -2.34, -0.02
815,ROE14b,CS22960-048,2MASS_J22170156-4512169, -3.91,0.12
853,ROE14b,CS29502-092,2MASS_J22223599-0138275, -3.3,0.04
856,ROE14b,CS22960-064,2MASS_J22240014-4235160, -2.77, -0.01
912,ROE14b,CS22888-002,2MASS_J23043723-3639579, -2.93,0.14
925,ROE14b,CS22949-048,2MASS_J23260741-0550067, -3.55,0.04
937,ROE14b,CS22949-037,2MASS_J23262980-0239579, -4.38,0.2
950,ROE14b,CS22945-028,2MASS_J23311355-6629578, -2.92, -0.1
952,ROE14b,CS22941-017,2MASS_J23325017-3359254, -3.11,0.06
961,ROE14b,CS22945-024,2MASS_J23364248-6535437, -2.58, -0.2
968,ROE14b,CS22952-015,2MASS_J23372869-0547566, -3.87, -0.12
995,ROE14b,CS22957-013,2MASS_J23554905-0522528, -2.98, -0.15
1002,ROE14b,CS22957-027,2MASS_J23591314-0353482, -3.19,0.14
1008,ROE14b,BD-012582,BD-01_2582, -2.62, -0.26
1034,ROE14b,HE1320-1339,BD-13_3695, -3.18, -0.11
1037,ROE14b,BD-155781,BD-15_5781, -2.92, -0.36
1047,ROE14b,CS31082-001,BD-16_251, -3.09, -0.39
1062,ROE14b,BD-185550,BD-18_5550, -3.2, -0.05
1066,ROE14b,BD-206008,BD-20_6008, -3.0, -0.11
1152,ROE14b,BD+233130,BD+23_3130, -2.93, -0.16
1160,ROE14b,BD+241676,BD+24_1676, -2.7,0.16
1183,ROE14b,G190-15,BD+38_4955, -3.12, -0.19
1192,ROE14b,BD+44493,BD+44_493, -4.28,0.29
1200,ROE14b,BD+80245,BD+80_245, -2.04, -0.38
1223,ROE14b,CS22169-008,BPS_CS_22169-0008, -2.85,0.06
1224,ROE14b,CS22171-031,BPS_CS_22171-0031, -2.54,0.06
1227,ROE14b,CS22174-020,BPS_CS_22174-0020, -3.29,0.12
1228,ROE14b,CS22177-010,BPS_CS_22177-0010, -3.0,0.14
1232,ROE14b,CS22191-029,BPS_CS_22191-0029, -2.94,0.11
1234,ROE14b,CS22871-104,BPS_CS_22871-0104, -2.2,0.15
1236,ROE14b,CS22872-102,BPS_CS_22872-0102, -2.85,0.19
1237,ROE14b,CS22873-072,BPS_CS_22873-0072, -3.08,0.24
1246,ROE14b,CS22874-123,BPS_CS_22874-0123, -2.79,0.42
1248,ROE14b,CS22875-029,BPS_CS_22875-0029, -2.71,0.17
1251,ROE14b,CS22877-011,BPS_CS_22877-0011, -3.23, -0.02
1252,ROE14b,CS22877-015,BPS_CS_22877-0015, -2.12,0.1
1253,ROE14b,CS22877-051,BPS_CS_22877-0051, -3.03,0.22
1254,ROE14b,CS22878-002,BPS_CS_22878-0002, -2.97,0.18
1256,ROE14b,CS22878-027,BPS_CS_22878-0027, -2.92,0.08
1257,ROE14b,CS22879-012,BPS_CS_22879-0012, -3.01,0.13
1258,ROE14b,CS22879-029,BPS_CS_22879-0029, -2.55, -0.01
1259,ROE14b,CS22879-051,BPS_CS_22879-0051, -3.02,0.25
1260,ROE14b,CS22879-094,BPS_CS_22879-0094, -3.15,0.09
1262,ROE14b,CS22879-097,BPS_CS_22879-0097, -2.66,0.1
1264,ROE14b,CS22879-103,BPS_CS_22879-0103, -2.16, -0.01
1266,ROE14b,CS22880-067,BPS_CS_22880-0067, -3.23,0.09
1269,ROE14b,CS22880-086,BPS_CS_22880-0086, -3.28,0.22
1270,ROE14b,CS22881-032,BPS_CS_22881-0032, -3.55,0.26
1273,ROE14b,CS22881-039,BPS_CS_22881-0039, -2.79,0.28
1274,ROE14b,CS22881-070,BPS_CS_22881-0070, -2.96,0.06
1276,ROE14b,CS22884-020,BPS_CS_22884-0020, -2.48,0.09
1278,ROE14b,CS22885-040,BPS_CS_22885-0040, -2.78,0.18
1280,ROE14b,CS22885-203,BPS_CS_22885-0203, -2.73,0.06
1281,ROE14b,CS22886-012,BPS_CS_22886-0012, -2.88,0.13
1285,ROE14b,CS22888-031,BPS_CS_22888-0031, -3.71,0.39
1288,ROE14b,CS22888-047,BPS_CS_22888-0047, -2.54,0.12
1290,ROE14b,CS22889-050,BPS_CS_22889-0050, -3.09,0.01
1291,ROE14b,CS22890-011,BPS_CS_22890-0011, -2.68, -0.03
1292,ROE14b,CS22891-221,BPS_CS_22891-0221, -3.23, -0.05
1294,ROE14b,CS22892-025,BPS_CS_22892-0025, -2.78,0.21
1296,ROE14b,CS22893-005,BPS_CS_22893-0005, -2.99, -0.04
1299,ROE14b,CS22893-010,BPS_CS_22893-0010, -3.12,0.16
1300,ROE14b,CS22893-011,BPS_CS_22893-0011, -2.4,0.01
1301,ROE14b,CS22894-004,BPS_CS_22894-0004, -2.96,0.1
1302,ROE14b,CS22894-019,BPS_CS_22894-0019, -2.98,0.07
1304,ROE14b,CS22894-049,BPS_CS_22894-0049, -2.84,0.28
1305,ROE14b,CS22896-015,BPS_CS_22896-0015, -2.85, -0.1
1306,ROE14b,CS22896-055,BPS_CS_22896-0055, -2.52,0.11
1308,ROE14b,CS22896-110,BPS_CS_22896-0110, -2.85,0.07
1309,ROE14b,CS22896-115,BPS_CS_22896-0115, -2.82,0.13
1310,ROE14b,CS22896-136,BPS_CS_22896-0136, -2.41,0.02
1314,ROE14b,CS22898-043,BPS_CS_22898-0043, -2.83,0.16
1315,ROE14b,CS22898-047,BPS_CS_22898-0047, -3.51,0.2
1318,ROE14b,CS22940-077,BPS_CS_22940-0077, -3.1,0.07
1320,ROE14b,CS22940-121,BPS_CS_22940-0121, -3.14,0.08
1323,ROE14b,CS22941-027,BPS_CS_22941-0027, -2.71,0.18
1326,ROE14b,CS22943-059,BPS_CS_22943-0059, -2.95, -0.02
1327,ROE14b,CS22943-132,BPS_CS_22943-0132, -2.63,0.16
1330,ROE14b,CS22943-201,BPS_CS_22943-0201, -2.68,0.07
1331,ROE14b,CS22944-014,BPS_CS_22944-0014, -2.64,0.09
1332,ROE14b,CS22944-061,BPS_CS_22944-0061, -2.96,0.25
1333,ROE14b,CS22945-017,BPS_CS_22945-0017, -2.89,0.09
1335,ROE14b,CS22945-031,BPS_CS_22945-0031, -3.29,0.27
1337,ROE14b,CS22945-056,BPS_CS_22945-0056, -2.82,0.36
1338,ROE14b,CS22945-058,BPS_CS_22945-0058, -2.98,0.21
1340,ROE14b,CS22945-063,BPS_CS_22945-0063, -2.84,0.25
1344,ROE14b,CS22947-187,BPS_CS_22947-0187, -2.58, -0.05
1353,ROE14b,CS22949-030,BPS_CS_22949-0030, -3.01,0.08
1354,ROE14b,CS22951-005,BPS_CS_22951-0005, -2.74,0.1
1355,ROE14b,CS22951-059,BPS_CS_22951-0059, -2.84,0.01
1356,ROE14b,CS22894-023,BPS_CS_22952-0011, -3.14,0.17
1357,ROE14b,CS22954-004,BPS_CS_22954-0004, -3.0,0.1
1361,ROE14b,CS22955-174,BPS_CS_22955-0174, -3.1,0.16
1362,ROE14b,CS22956-015,BPS_CS_22956-0015, -2.81,0.11
1363,ROE14b,CS22956-021,BPS_CS_22956-0021, -2.73,0.13
1365,ROE14b,CS22956-062,BPS_CS_22956-0062, -2.75,0.14
1366,ROE14b,CS22956-081,BPS_CS_22956-0081, -2.71,0.01
1368,ROE14b,CS22956-106,BPS_CS_22956-0106, -2.69,0.23
1370,ROE14b,CS22956-114,BPS_CS_22956-0114, -3.19,0.02
1371,ROE14b,CS22957-019,BPS_CS_22957-0019, -2.43,0.06
1372,ROE14b,CS22957-024,BPS_CS_22957-0024, -2.91,0.21
1373,ROE14b,CS22957-036,BPS_CS_22957-0036, -2.28, -0.06
1374,ROE14b,CS22958-037,BPS_CS_22958-0037, -2.51,0.22
1375,ROE14b,CS22958-041,BPS_CS_22958-0041, -3.1,0.38
1376,ROE14b,CS22958-052,BPS_CS_22958-0052, -2.62,0.06
1378,ROE14b,CS22958-065,BPS_CS_22958-0065, -2.29,0.08
1379,ROE14b,CS22958-074,BPS_CS_22958-0074, -2.67,0.06
1380,ROE14b,CS22959-074,BPS_CS_22959-0074, -2.6, -0.3
1381,ROE14b,CS22959-139,BPS_CS_22959-0139, -2.67,0.11
1383,ROE14b,CS22960-010,BPS_CS_22960-0010, -3.02,0.04
1384,ROE14b,CS22960-029,BPS_CS_22960-0029, -3.05,0.16
1386,ROE14b,CS22964-115,BPS_CS_22964-0115, -2.82,0.04
1387,ROE14b,CS22964-176,BPS_CS_22964-0176, -2.56,0.02
1388,ROE14b,CS22964-183,BPS_CS_22964-0183, -3.01, -0.05
1390,ROE14b,CS22964-214,BPS_CS_22964-0214, -2.95,0.12
1396,ROE14b,CS22965-054,BPS_CS_22965-0054, -3.17,0.43
1400,ROE14b,CS22968-001,BPS_CS_22968-0001, -3.12,0.28
1401,ROE14b,CS22968-026,BPS_CS_22968-0026, -2.57,0.0
1402,ROE14b,CS22968-029,BPS_CS_22968-0029, -3.1,0.04
1403,ROE14b,CS29493-023,BPS_CS_29493-0023, -2.89,0.04
1404,ROE14b,CS29493-050,BPS_CS_29493-0050, -2.92,0.26
1405,ROE14b,CS29493-062,BPS_CS_29493-0062, -2.76,0.08
1406,ROE14b,CS29493-094,BPS_CS_29493-0094, -2.66,0.11
1407,ROE14b,CS29495-005,BPS_CS_29495-0005, -2.44,0.05
1409,ROE14b,CS29499-003,BPS_CS_29499-0003, -2.51,0.03
1410,ROE14b,CS29499-058,BPS_CS_29499-0058, -2.81,0.18
1411,ROE14b,CS29501-032,BPS_CS_29501-0032, -2.92,0.14
1413,ROE14b,CS22937-072,BPS_CS_29501-0051, -2.72,0.14
1419,ROE14b,CS29506-007,BPS_CS_29506-0007, -3.24,0.24
1425,ROE14b,CS29506-090,BPS_CS_29506-0090, -3.21,0.05
1428,ROE14b,CS22886-003,BPS_CS_29512-0030, -2.92,0.04
1432,ROE14b,CS29513-003,BPS_CS_29513-0003, -2.47, -0.06
1433,ROE14b,CS29513-014,BPS_CS_29513-0014, -2.32, -0.05
1434,ROE14b,CS29513-015,BPS_CS_29513-0015, -2.63,0.02
1438,ROE14b,CS29517-018,BPS_CS_29517-0018, -2.78,0.16
1439,ROE14b,CS29517-042,BPS_CS_29517-0042, -2.53,0.08
1444,ROE14b,CS22890-064,BPS_CS_30306-0117, -3.12,0.19
1446,ROE14b,CS30312-044,BPS_CS_30312-0044, -3.22, -0.1
1451,ROE14b,CS30339-073,BPS_CS_30339-0073, -3.93,0.17
1453,ROE14b,CS30492-016,BPS_CS_30492-0016, -3.3,0.09
1454,ROE14b,CS22888-014,BPS_CS_30493-0023, -2.73, -0.01
1455,ROE14b,CS30493-071,BPS_CS_30493-0071, -2.82,0.09
1478,ROE14b,HE0336-2412,CD-24_1782, -3.05, -0.02
1490,ROE14b,HE0056-3022,CD-30_298, -3.77,0.09
1492,ROE14b,CS29509-027,CD-31_306, -2.42,0.21
1509,ROE14b,CD-38245,CD-38_245, -4.59,0.18
1520,ROE14b,CS22891-184,DENIS_J192612.3-603406, -2.68, -0.2
1522,ROE14b,CS22951-077,DENIS_J215753.2-430808, -2.54, -0.16
1536,ROE14b,G10-54,G_10-54, -2.29, -0.08
1542,ROE14b,G122-69,G_122-69, -2.78,0.26
1546,ROE14b,G25-22,G_145-28, -2.33, -0.05
1551,ROE14b,G166-47,G_166-47, -2.46, -0.08
1554,ROE14b,G214-1,G_214-1, -2.29, -0.17
1561,ROE14b,G25-24,G_25-24, -2.11, -0.29
1563,ROE14b,CS22180-014,G_272-44, -2.86,0.18
1569,ROE14b,G4-36,G_4-36, -2.17, -0.27
1571,ROE14b,G4-37,G_4-37, -2.73,0.16
1573,ROE14b,G75-56,G_75-56, -2.35, -0.04
1575,ROE14b,G90-3,G_90-3, -2.4,0.04
1578,ROE14b,CS29514-007,GD_678, -2.83,0.35
1591,ROE14b,HD106373,HD_106373, -2.61,0.15
1609,ROE14b,HD108317,HD_108317, -2.62, -0.13
1637,ROE14b,HD11582,HD_11582, -1.84, -0.52
1671,ROE14b,HD122563,HD_122563, -2.97, -0.17
1688,ROE14b,HD126587,HD_126587, -3.29, -0.1
1702,ROE14b,HD128279,HD_128279, -2.52, -0.21
1721,ROE14b,HD13979,HD_13979, -2.97, -0.03
1772,ROE14b,HD175606,HD_175606, -2.39,0.04
1775,ROE14b,HD178443,HD_178443, -1.99, -0.22
1788,ROE14b,HD186478,HD_186478, -2.75, -0.28
1802,ROE14b,HD19445,HD_19445, -2.29,0.01
1814,ROE14b,HD196944,HD_196944, -2.39, -0.18
1821,ROE14b,HD200654,HD_200654, -3.13,0.13
1840,ROE14b,HD214362,HD_214362, -2.06, -0.22
1879,ROE14b,HD26169,HD_26169, -2.8, -0.22
1907,ROE14b,HD338529,HD_338529, -2.6, -0.37
1909,ROE14b,HD340279,HD_340279, -3.07,0.09
1945,ROE14b,HD6268,HD_6268, -2.82, -0.26
1953,ROE14b,HD64090,HD_64090, -2.03, -0.26
2004,ROE14b,HD88609,HD_88609, -3.29, -0.24
2025,YON13,HE0253-1331,HE_0253-1331, -3.01,0.44
2037,YON13,HE1055+0104,HE_1055+0104, -2.87,0.4
2040,YON13,HE1201-1512,HE_1201-1512, -3.86,0.83
2042,YON13,HE1207-3108,HE_1207-3108, -2.7, -0.31
2045,YON13,HE1320-2952,HE_1320-2952, -3.69,0.29
2050,YON13,HE1402-0523,HE_1402-0523, -3.17,0.99
2051,YON13,HE1506-0113,HE_1506-0113, -3.54,0.48
2052,YON13,HE2020-5228,HE_2020-5228, -2.93,0.69
2055,YON13,HE2135-1924,HE_2135-1924, -3.31,0.94
2058,YON13,HE2139-5432,HE_2139-5432, -4.02,0.62
2066,ROE14b,CS22948-066,HE_2141-3741, -3.5,0.18
2069,YON13,HE2142-5656,HE_2142-5656, -2.87,0.19
2072,YON13,HE2202-4831,HE_2202-4831, -2.78,0.21
2093,ROE14b,G180-58,LHS_3199, -2.6, -0.07
2094,ROE14b,G115-49,LHS_6161, -2.61,0.08
2148,ROE14b,G206-34,Ross_711, -3.17,0.01
2168,ROE14b,HE0938+0114,Ross_889, -3.09,0.1
2172,ROE14b,CS29514-018,SB_467, -2.84,0.05
2176,ROE14b,CS29499-060,SB_966, -2.79,0.26
2538,ROE14b,CS22943-095,TYC_8406-355-1, -2.52,0.06
2551,ROE14b,CS22953-037,UCAC2_5736774, -3.21,0.27
2695,ROE14b,CS22886-013,V*_FV_Aqr, -2.58,0.27
2709,ROE14b,CS30312-062,V*_V456_Ser, -2.64,0.24
2713,ROE14b,G15-10,Wolf_1137, -2.53, -0.2
2714,ROE14b,G188-30,Wolf_1143, -2.05, -0.18
2728,ROE14b,G64-12,Wolf_1492, -3.58,0.34
2731,ROE14b,G199-66,Wolf_481, -2.14, -0.16
