Name,v_r(km/s),v_phi flipped
2MASS J12091322-1415313,-157.1540752,
2MASS J12102259-4902190,-248.0211392,
HD 106373,280.7334664,
HD 107752,118.3736916,
2MASS J12233047-4216365,218.3728789,
2MASS J12255123-2351074,-98.58842365,
HD 108317,108.2628433,
HD 108577,180.0466036,
2MASS J12292696-0442325,256.864169,
HE 1226-1149,-116.1358717,
2MASS J12341308-3149577,-114.2584438,
2MASS J12351734+0945333,12.33229257,
2MASS J12405721-4051430,-159.2534586,
2MASS J12503987-0307485,13.77160983,
2MASS J12535742-3801355,63.17712952,
2MASS J12571667-4335318,-52.15472168,
HE 1256-0228,-64.21484511,
2MASS J12591462-7049592,85.30959526,
BPS BS 16929-005,79.99455257,
2MASS J13052137-1137220,-65.1472496,
2MASS J13101305-3342369,27.95064564,
BPS CS 22877-015,8.885441737,
HD 115444,-159.265404,
2MASS J13164824-2743351,276.3691259,
BPS BS 16033-081,46.27886841,
2MASS J13214178-4320055,-25.19231931,
2MASS J13254554-1747547,242.5966699,
2MASS J13261792-0945176,84.11890114,
2MASS J13315746-1929446,61.30537324,
HD 118055,119.8903408,
SMSS J133532.32-210632.9,80.47529605,
2MASS J13374885-0826176,92.5737189,
2MASS J13425404-0717005,-252.0017966,
HD 119516,144.6007872,
BPS BS 16089-013,-137.1602776,
2MASS J13494713-7423395,-12.48224211,
2MASS J13511539-7340363,-307.6052783,
2MASS J13524835+1254216,-170.010673,
2MASS J14004919+4551581,359.979427,
2MASS J14032900-5250429,20.99959104,
2MASS J14043762+0011117,188.4836574,
HD 122956,-18.80780775,
2MASS J14101587-0343553,-134.8263491,
2MASS J14155955-3219255,187.5777043,
2MASS J14180866-2842077,-162.4364542,
2MASS J14191395-0844410,107.3067738,
BD+01:2916,97.82075615,
2MASS J14232679-2834200,16.50946539,
2MASS J14234371-4025526,-242.9919492,
BD+08:2856,-190.5256126,
2MASS J14301385-2317388,79.34793082,
BD+18:2890,-191.4691882,
HE 1429-0347,198.0588382,
2MASS J14325334-4125494,331.4876707,
HE 1430+0053,159.9187162,
2MASS J14354680-1124122,4.165238813,
BPS BS 16083-172,-122.1708673,
2MASS J14543792+0830379,6.310550939,
2MASS J14590234-0916105,-274.5979733,
2MASS J14592981-3852558,-105.2623816,
2MASS J15002498-0613374,132.4686636,
2MASS J15042611-2231523,118.9944603,
2MASS J15062866-1428038,29.5959206,
BD+30:2611,4.78947689,
2MASS J15075699-0659593,50.79394296,
2MASS J15083385-1459166,104.5910632,
HD 134440,-314.3110227,
2MASS J15111672+0025252,143.7269237,
HD 135148,293.1715092,
2MASS J15133549-1244339,-14.33839314,
BPS CS 30306-132,137.2601877,
2MASS J15155734-1054220,-197.6980926,
2MASS J15204531-1742486,146.5096028,
2MASS J15211026-0607566,-104.1778657,
2MASS J15213995-3538094,-113.4547062,
2MASS J15260106-0911388,142.4117498,
2MASS J15271353-2336177,53.65179167,
2MASS J15293404-3906241,8.892019568,
2MASS J15383085-1804242,-57.60567257,
SMSS J155430.57-263904.8,-75.80139071,
2MASS J15582962-1224344,-50.95899576,
2MASS J16024498-1521016,-96.84164386,
BD+42:2667,-111.0995949,
SMSS J160447.75-293146.7,86.86247904,
2MASS J16095117-0941174,-100.2129077,
2MASS J16122832-0848083,32.93833026,
2MASS J16163560-0401148,-167.003681,
2MASS J16285613-1014576,-74.7451733,
BD+09:3223,-219.4023925,
HD 149414,79.56977978,
BPS CS 22878-121,35.14920882,
SMSS J165023.82-252948.7,190.5049225,
2MASS J16592172-6827199,378.0284565,
2MASS J17043634-6219457,-139.6559887,
2MASS J17093199-6027271,259.5709725,
2MASS J17124284-5211479,-117.094847,
2MASS J17131974-7113010,-70.43797407,
2MASS J17163340-7009028,-87.66479479,
2MASS J17225742-7123000,-4.639262765,
BD+17:3248,41.30837199,
2MASS J17360008-5145303,165.1732887,
2MASS J17383643-5358288,30.61231867,
2MASS J17400682-6102129,-78.30582255,
2MASS J17414840-5340354,47.39807135,
2MASS J17435113-5359333,36.86901192,
2MASS J17541561-5148268,-206.5249033,
G 154-34,128.5057163,
SMSS J175738.37-454823.5,-6.633695931,
2MASS J18024226-4404426,289.9697847,
2MASS J18050641-4907579,-167.1344933,
2MASS J18272347-5133001,167.7482078,
2MASS J18285086-3434203,-24.43045763,
2MASS J18294122-4504000,119.8242516,
RAVE J183013.5-455510,-45.72545187,
SMSS J183128.71-341018.4,-59.4945323,
2MASS J18362318-6428124,8.956221945,
2MASS J18363613-7136597,80.64710168,
SMSS J183647.89-274333.1,294.4324317,
HD 175305,57.22528722,
2MASS J18562774-7251331,-226.8007618,
2MASS J19014952-4844359,-84.36861085,
2MASS J19050116-1949280,-150.803347,
SMSS J190911.03-213207.5,-198.8008283,
2MASS J19092677-5140208,237.8649193,
SMSS J190931.13-214053.9,-19.62407575,
HD 178443,-301.4583736,
HD 179626,-108.5963311,
2MASS J19161821-5544454,-77.2259205,
2MASS J19192768-5959140,319.5820152,
2MASS J19215077-4452545,-62.98094323,
2MASS J19232518-5833410,-129.2569639,
2MASS J19232941-4425432,-253.4323479,
BPS CS 22896-055,238.9981566,
2MASS J19310426-3707397,57.87785492,
2MASS J19345326-3236567,-242.2389736,
SMSS J193617.38-790231.4,-261.686303,
BPS CS 22896-154,-39.82714079,
2MASS J19445483-4039459,-126.6644793,
2MASS J19451414-1729269,-175.1626086,
2MASS J19552158-4613569,-144.9826141,
2MASS J19563822-4054235,201.4616651,
Gaia DR2 2233912206910720000,109.1931201,
2MASS J19584033+0430396,-21.72529127,
SMSS J195931.70-643529.3,-200.4030962,
2MASS J20000364-3301351,74.00580894,
2MASS J20005766-2541488,-199.9290381,
2MASS J20050670-3057445,205.1874435,
2MASS J20080083-2759265,49.61319412,
2MASS J20093393-3410273,-221.2412243,
2MASS J20102782-0826556,258.98778,
2MASS J20103193-3558546,-110.2451538,
2MASS J20194310-3158163,150.1885852,
BPS CS 22943-132,77.34345252,
2MASS J20233743-1659533,4.473726009,
2MASS J20374042-5520500,-66.94979962,
2MASS J20384318-0023327,-263.3087573,
2MASS J20385893-0252115,154.2274142,
2MASS J20411424-4654315,129.679989,
BPS CS 22955-174,-93.53970906,
2MASS J20435776-4408037,-70.02837193,
2MASS J20453454-1431151,13.5335721,
2MASS J20492765-5124440,-68.81223192,
2MASS J20504869-3355289,140.92703,
2MASS J20514971-6158008,71.37262118,
BPS CS 22940-121,-71.37851548,
2MASS J20554594-3155159,154.4599758,
2MASS J20584918-0354340,-35.63973322,
2MASS J21003824-0539171,-12.54438784,
2MASS J21055865-4919336,8.741304992,
2MASS J21063474-4957500,234.12664,
2MASS J21064294-6828266,50.9819614,
2MASS J21091825-1310062,-66.89565946,
2MASS J21095804-0945400,46.85491486,
2MASS J21162185-0213420,-43.23282848,
2MASS J21220020-0820333,-60.23123863,
2MASS J21224590-4641030,-35.01144261,
BD-03:5215,152.0243721,
HE 2134+0001,-25.1289878,
2MASS J21462219-0512324,179.386462,
G 214-1,121.1046234,
BPS CS 22951-059,28.46529595,
BPS CS 29493-062,-15.56302051,
HE 2155+0136,94.75035456,
HE 2154-2838,45.401756,
HE 2206-2245,76.89387401,
BPS CS 22886-012,1.903350797,
2MASS J22161170-5319492,-130.1359037,
2MASS J22163596+0246171,48.12840998,
BPS CS 22892-052,151.3321913,
2MASS J22182082-3827554,-31.39067241,
2MASS J22190836-2333467,-99.40300402,
2MASS J22220344-8024592,-60.13525976,
BPS CS 22886-043,17.51395246,
BPS CS 22960-064,113.8058889,
HE 2224+0143,13.86287529,
BPS CS 22875-029,135.4555277,
BPS CS 29491-069,161.745084,
HE 2229-4153,-19.86175368,
2MASS J22345447-6605172,83.85331175,
2MASS J22373316-4341181,-50.28222115,
HE 2242-1930,-131.6914161,
HE 2244-1503,64.98895501,
2MASS J22492756-2238289,107.6637439,
2MASS J22562536-0719562,-140.1157019,
2MASS J23022289-6833233,48.55206295,
HE 2301-4024,-63.75966536,
2MASS J23060975-6107368,170.1455804,
2MASS J23100319-7702165,201.4162292,
BPS CS 29513-003,-14.18174277,
BPS CS 22945-017,80.65923922,
2MASS J23242766-2728055,-52.54223757,
2MASS J23251897-0815539,31.66801004,
2MASS J23265258-0159248,-161.3973467,
2MASS J23285061-0432368,-87.80851081,
HD 221170,-125.0107234,
HE 2327-5642,71.18326971,
BPS CS 22941-017,-110.729143,
2MASS J23342332-2748003,-4.190084804,
2MASS J23362202-5607498,-4.612669627,
BPS CS 22952-015,-80.85957779,
BPS CS 29499-003,-202.0984035,
2MASS J23411581-6406440,162.8612262,
2MASS J23425814-4327352,-138.8147717,
HD 222925,240.3935286,
2MASS J23475942-5701184,13.42642179,
BPS CS 22966-057,-134.7835082,
2MASS J23490902-2447176,358.8744102,
BPS CS 29499-058,-194.1802815,
BPS CS 22945-058,140.3788404,
BPS CS 22945-056,-264.7616279,
BPS CS 29517-025,116.6974388,
