Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
2MASS J07352232-4425010,49.16988925,-160646.2766
2MASS J07393021-5548171,366.5787277,-169637.2315
BD-01:1792,-107.9463567,-169580.6226
2MASS J07411443-4339360,1682.82286,-123512.5964
2MASS J07501424-4123454,495.7696389,-139018.4868
2MASS J08015897-5752032,-1122.455291,-137557.5464
2MASS J08032084-5856521,-1031.985837,-173935.4654
2MASS J08134364-2332528,-982.6143972,-166260.649
2MASS J08155667-2204105,166.1938555,-164878.3556
2MASS J08393460-2122069,173.332142,-165365.8323
2MASS J08594093-1415151,331.2244836,-149810.3407
2MASS J09185890-2311511,-1830.352151,-98191.97826
2MASS J09255655-3450373,377.0190429,-166953.1825
2MASS J09261133-1526232,424.1071469,-135887.3636
2MASS J09284944-0738585,-1317.855393,-164099.2841
2MASS J09364069-2038386,1054.894646,-163452.3554
2MASS J09463483-0626532,-137.1614911,-151470.4038
2MASS J09544277+5246414,1478.332634,-145033.7485
2MASS J09574607-3923072,-1000.356276,-170404.2156
2MASS J09580181-1446137,36.17328138,-143272.7207
2MASS J10025125-4331098,134.3557584,-174052.0097
2MASS J10044858-2706500,87.7265823,-169164.2175
2MASS J10063414-7030212,-877.1216939,-172442.2273
2MASS J10082492-2314124,-1254.756248,-163949.3844
BPS BS 15621-047,-1792.47746,-154976.6497
2MASS J10121964-3221347,229.8649441,-148857.6953
2MASS J10191573-1924464,-1341.515185,-165853.9635
2MASS J10194932-4900584,20.90931597,-146365.3689
2MASS J10223779-3400209,399.4053466,-179355.2113
2MASS J10302845-7543299,208.1321777,-178394.6824
2MASS J10345348-1117221,-389.2975166,-171170.1778
2MASS J10362687-3746174,-504.629819,-174925.5554
2MASS J10401894-4106124,-1713.072517,-136567.2758
HE 1044-2509,1413.224944,-152656.6547
2MASS J10492192-1154173,-161.7840014,-180050.8859
2MASS J10513692-2115466,-754.7429022,-173139.9973
SMSS J105320.99-435300.1,-3974.549913,-13286.90345
J1054+0528,-1097.10022,-161350.0475
2MASS J10594136-2052253,-360.8765775,-171426.0972
2MASS J11014865-3749526,685.908234,-163139.7991
2MASS J11165400-7250160,-168.9139128,-176990.0834
LAMOST J112456.61+453531.,240.2433946,-143116.0597
2MASS J11301705-1449325,-1369.549193,-159588.6172
