JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,V/Fe
1788,ROE14b,HD186478,HD_186478, -2.75, -0.21
1802,ROE14b,HD19445,HD_19445, -2.29,0.04
1814,ROE14b,HD196944,HD_196944, -2.39, -0.03
1821,ROE14b,HD200654,HD_200654, -3.13,0.1
1840,ROE14b,HD214362,HD_214362, -2.06,0.09
1879,ROE14b,HD26169,HD_26169, -2.8, -0.08
1907,ROE14b,HD338529,HD_338529, -2.6,0.15
1945,ROE14b,HD6268,HD_6268, -2.82, -0.23
1953,ROE14b,HD64090,HD_64090, -2.03, -0.04
2004,ROE14b,HD88609,HD_88609, -3.29, -0.35
2066,ROE14b,CS22948-066,HE_2141-3741, -3.5,0.25
2093,ROE14b,G180-58,LHS_3199, -2.6,0.14
2094,ROE14b,G115-49,LHS_6161, -2.61, -0.02
2538,ROE14b,CS22943-095,TYC_8406-355-1, -2.52,0.31
2695,ROE14b,CS22886-013,V*_FV_Aqr, -2.58,0.43
2709,ROE14b,CS30312-062,V*_V456_Ser, -2.64,0.31
2713,ROE14b,G15-10,Wolf_1137, -2.53, -0.12
2714,ROE14b,G188-30,Wolf_1143, -2.05,0.04
2731,ROE14b,G199-66,Wolf_481, -2.14, -0.1
2734,ROE14b,G16-25,Wolf_624, -2.08, -0.26
