JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Mg/Fe
320,ROE14b,CS22186-002,2MASS_J04135721-3646255, -2.72,0.2
321,ROE14b,CS22186-017,2MASS_J04162226-3417576, -2.82,0.52
324,ROE14b,CS22186-023,2MASS_J04194553-3651359, -3.04,0.34
327,ROE14b,CS22182-033,2MASS_J04231047-3037041, -2.65,0.34
348,ROE14b,HE0454-4758,2MASS_J04552670-4753417, -3.38,0.54
392,ROE14b,HE1012-1540,2MASS_J10145347-1555532, -4.17,1.81
410,ROE14b,G146-76,2MASS_J10595749+4446439, -2.08,0.31
420,ROE14b,HE1124-2335,2MASS_J11272694-2352056, -3.36,0.59
512,ROE14b,CS22877-001,2MASS_J13135537-1211415, -3.31,0.38
617,ROE14b,CS22890-024,2MASS_J15160539-0003578, -2.77,0.3
625,ROE14b,CS30312-059,2MASS_J15344884-0123372, -3.41,0.54
630,ROE14b,CS30312-100,2MASS_J15433166+0201174, -2.69,0.38
632,ROE14b,CS22884-108,2MASS_J15495758-0914092, -3.1,0.31
649,ROE14b,CS22878-101,2MASS_J16453144+0814454, -3.53,0.6
671,ROE14b,CS22891-200,2MASS_J19351908-6142243, -4.06,0.82
676,ROE14b,CS22891-209,2MASS_J19420216-6103446, -3.49,0.52
692,ROE14b,CS22873-128,2MASS_J20070379-5834575, -3.32,0.67
701,ROE14b,CS22885-096,2MASS_J20205117-3953301, -4.41,0.84
706,ROE14b,CS22950-046,2MASS_J20212839-1316336, -4.12,0.58
708,ROE14b,CS22943-137,2MASS_J20262899-4300426, -3.64,0.73
714,YON13,CS30336-049,2MASS_J20452353-2842359, -4.1,0.14
722,ROE14b,CS30314-067,2MASS_J20525098-3419405, -3.31,0.56
727,ROE14b,CS22897-008,2MASS_J21031185-6505088, -3.83,0.6
735,ROE14b,CS29498-043,2MASS_J21035211-2942502, -3.87,1.78
743,ROE14b,CS30492-001,2MASS_J21055523-4210101, -2.62,0.47
745,ROE14b,CS30492-110,2MASS_J21214583-3808579, -3.27,0.53
763,ROE14b,CS29495-042,2MASS_J21391140-2817544, -2.54,0.38
772,ROE14b,CS22944-032,2MASS_J21474322-1340227, -3.22,0.55
784,ROE14b,CS22965-016,2MASS_J21570791-0434083, -3.13,0.6
790,ROE14b,CS22956-050,2MASS_J21580583-6513271, -3.67,0.67
811,ROE14b,CS22881-036,2MASS_J22075843-4044164, -2.34,0.54
814,ROE14b,CS22960-053,2MASS_J22161708-4354197, -3.64,0.77
815,ROE14b,CS22960-048,2MASS_J22170156-4512169, -3.91,0.72
853,ROE14b,CS29502-092,2MASS_J22223599-0138275, -3.3,0.5
856,ROE14b,CS22960-064,2MASS_J22240014-4235160, -2.77,0.44
912,ROE14b,CS22888-002,2MASS_J23043723-3639579, -2.93,0.5
925,ROE14b,CS22949-048,2MASS_J23260741-0550067, -3.55,0.4
937,ROE14b,CS22949-037,2MASS_J23262980-0239579, -4.38,1.56
950,ROE14b,CS22945-028,2MASS_J23311355-6629578, -2.92,0.47
952,ROE14b,CS22941-017,2MASS_J23325017-3359254, -3.11,0.52
961,ROE14b,CS22945-024,2MASS_J23364248-6535437, -2.58,0.46
968,ROE14b,CS22952-015,2MASS_J23372869-0547566, -3.87,0.3
995,ROE14b,CS22957-013,2MASS_J23554905-0522528, -2.98,0.47
1002,ROE14b,CS22957-027,2MASS_J23591314-0353482, -3.19,0.08
1008,ROE14b,BD-012582,BD-01_2582, -2.62,0.54
1034,ROE14b,HE1320-1339,BD-13_3695, -3.18,0.45
1037,ROE14b,BD-155781,BD-15_5781, -2.92,0.48
1047,ROE14b,CS31082-001,BD-16_251, -3.09,0.6
1062,ROE14b,BD-185550,BD-18_5550, -3.2,0.49
1066,ROE14b,BD-206008,BD-20_6008, -3.0,0.53
