# Object,[Fe/H],[C/Fe]
SAGA_Scl_000086,-2.48,-0.47
SAGA_Scl_000086,-2.09,
SAGA_Scl_000086,-2.11,
SAGA_Scl_000086,-2.34,
SAGA_Scl_000086,-2.46,
SAGA_Scl_000099,-1.78,
SAGA_Scl_000099,-1.95,-0.71
SAGA_Scl_000099,-2.11,-0.09
SAGA_Scl_000099,-1.77,
SAGA_Scl_000099,-1.94,
SAGA_Scl_000100,-2.02,
SAGA_Scl_000100,-1.72,0.64
SAGA_Scl_000100,-2.05,
SAGA_Scl_000101,-2.57,
SAGA_Scl_000101,-2.77,-0.17
SAGA_Scl_000101,-2.55,
SAGA_Scl_000101,-2.76,
SAGA_Scl_000102,-1.18,
SAGA_Scl_000102,-1.26,-0.66
SAGA_Scl_000102,-1.06,
SAGA_Scl_000102,-1.25,
SAGA_Scl_000106,-1.35,
SAGA_Scl_000106,-1.44,-0.93
SAGA_Scl_000106,-1.23,
SAGA_Scl_000106,-1.43,
SAGA_Scl_000108,-1.19,
SAGA_Scl_000108,-1.38,-0.24
SAGA_Scl_000108,-1.16,
SAGA_Scl_000110,-2.14,
SAGA_Scl_000110,-2.28,-0.66
SAGA_Scl_000110,-2.13,
SAGA_Scl_000111,-2.18,
SAGA_Scl_000111,-2.32,-0.77
SAGA_Scl_000111,-2.19,
SAGA_Scl_000111,-2.31,
SAGA_Scl_000112,-1.61,
SAGA_Scl_000112,-1.76,-0.53
SAGA_Scl_000112,-1.58,
SAGA_Scl_000112,-1.74,
SAGA_Scl_000114,-1.68,
SAGA_Scl_000114,-1.76,-0.44
SAGA_Scl_000114,-1.61,
SAGA_Scl_000116,-1.42,
SAGA_Scl_000116,-1.25,0.23
SAGA_Scl_000116,-1.22,
SAGA_Scl_000117,-1.44,
SAGA_Scl_000117,-1.59,-0.81
SAGA_Scl_000117,-1.36,
SAGA_Scl_000117,-1.57,
SAGA_Scl_000120,-1.41,
SAGA_Scl_000120,-1.54,-0.69
SAGA_Scl_000120,-1.34,
SAGA_Scl_000122,-1.1,
SAGA_Scl_000122,-1.23,-0.9
SAGA_Scl_000122,-1.05,
SAGA_Scl_000122,-1.22,
SAGA_Scl_000123,-1.46,
SAGA_Scl_000123,-1.55,-0.86
SAGA_Scl_000123,-1.29,
SAGA_Scl_000123,-1.53,
SAGA_Scl_000125,-1.83,
SAGA_Scl_000125,-2.01,-0.75
SAGA_Scl_000125,-1.82,
SAGA_Scl_000125,-1.99,
SAGA_Scl_000127,-1.34,
SAGA_Scl_000127,-1.56,-0.48
SAGA_Scl_000127,-1.34,
SAGA_Scl_000127,-1.54,
SAGA_Scl_000128,-2.99,
SAGA_Scl_000128,-2.28,
SAGA_Scl_000128,-2.86,0.2
SAGA_Scl_000128,-1.39,
SAGA_Scl_000129,-1.31,
SAGA_Scl_000129,-1.55,-0.76
SAGA_Scl_000129,-1.32,
SAGA_Scl_000130,-1.08,
SAGA_Scl_000130,-1.23,-0.66
SAGA_Scl_000130,-0.96,
SAGA_Scl_000130,-1.21,
SAGA_Scl_000132,-2.41,
SAGA_Scl_000132,-2.52,-0.52
SAGA_Scl_000132,-2.72,0.42
SAGA_Scl_000132,-2.36,
SAGA_Scl_000132,-2.5,
SAGA_Scl_000133,-1.78,
SAGA_Scl_000133,-1.78,-0.45
SAGA_Scl_000133,-1.59,
SAGA_Scl_000134,-0.91,
SAGA_Scl_000134,-1.01,-0.69
SAGA_Scl_000134,-0.79,
SAGA_Scl_000134,-1,
SAGA_Scl_000135,-1.59,
SAGA_Scl_000135,-1.83,-0.2
SAGA_Scl_000135,-1.66,
SAGA_Scl_000136,-2.73,
SAGA_Scl_000136,-2.82,0.08
SAGA_Scl_000136,-3.05,0.75
SAGA_Scl_000136,-2.68,
SAGA_Scl_000141,-1.53,
SAGA_Scl_000141,-1.51,
SAGA_Scl_000141,-1.72,-1.14
SAGA_Scl_000141,-1.51,
SAGA_Scl_000141,-1.43,
SAGA_Scl_000141,-1.71,
SAGA_Scl_000146,-1.21,
SAGA_Scl_000146,-1.3,
SAGA_Scl_000146,-1.37,-0.72
SAGA_Scl_000146,-1.17,
SAGA_Scl_000146,-1.35,
SAGA_Scl_000147,-1.35,
SAGA_Scl_000147,-1.6,-0.39
SAGA_Scl_000147,-1.35,
SAGA_Scl_000148,-1.05,
SAGA_Scl_000148,-1.26,-0.45
SAGA_Scl_000148,-1.03,
SAGA_Scl_000149,-1.87,
SAGA_Scl_000149,-1.99,-0.28
SAGA_Scl_000149,-1.85,
SAGA_Scl_000149,-1.98,
SAGA_Scl_000151,-1.2,
SAGA_Scl_000151,-1.33,-0.81
SAGA_Scl_000151,-1.13,
SAGA_Scl_000151,-1.31,
SAGA_Scl_000152,-1.37,
SAGA_Scl_000152,-1.48,-0.72
SAGA_Scl_000152,-1.25,
SAGA_Scl_000152,-1.46,
SAGA_Scl_000153,-1.22,
SAGA_Scl_000153,-1.22,-0.86
SAGA_Scl_000153,-1.09,
SAGA_Scl_000153,-1.21,
SAGA_Scl_000159,-0.91,
SAGA_Scl_000159,-1.09,-0.28
SAGA_Scl_000159,-0.91,
SAGA_Scl_000162,-1.83,
SAGA_Scl_000162,-2.04,-0.49
SAGA_Scl_000162,-1.86,
SAGA_Scl_000162,-2.03,
SAGA_Scl_000164,-1.84,
SAGA_Scl_000164,-2.09,0.04
SAGA_Scl_000164,-1.93,
SAGA_Scl_000166,-2.37,
SAGA_Scl_000166,-2.67,-0.24
SAGA_Scl_000166,-2.54,
SAGA_Scl_000167,-2.13,
SAGA_Scl_000167,-2.24,0.07
SAGA_Scl_000167,-2.04,
SAGA_Scl_000169,-1.08,
SAGA_Scl_000169,-1.29,
SAGA_Scl_000169,-1.14,-0.8
SAGA_Scl_000169,-0.89,
SAGA_Scl_000169,-1.12,
SAGA_Scl_000171,-2.25,
SAGA_Scl_000171,-2.26,-0.07
SAGA_Scl_000171,-2.14,
SAGA_Scl_000172,-1.28,
SAGA_Scl_000172,-1.35,-0.63
SAGA_Scl_000172,-1.21,
SAGA_Scl_000172,-1.34,
SAGA_Scl_000173,-2.55,
SAGA_Scl_000173,-2.67,
SAGA_Scl_000173,-2.59,0.22
SAGA_Scl_000173,-2.53,
SAGA_Scl_000174,-1.91,
SAGA_Scl_000174,-2.2,-0.5
SAGA_Scl_000174,-2.02,
SAGA_Scl_000175,-1.41,
SAGA_Scl_000175,-1.59,
SAGA_Scl_000175,-1.56,-0.2
SAGA_Scl_000175,-1.33,
SAGA_Scl_000175,-1.55,
SAGA_Scl_000177,-2.13,
SAGA_Scl_000177,-2.17,
SAGA_Scl_000177,-2.3,-0.59
SAGA_Scl_000177,-2.17,
SAGA_Scl_000177,-2.28,
SAGA_Scl_000178,-1.54,
SAGA_Scl_000178,-1.66,-0.82
SAGA_Scl_000178,-1.42,
SAGA_Scl_000178,-1.65,
SAGA_Scl_000179,-1.34,
SAGA_Scl_000179,-1.46,-0.53
SAGA_Scl_000179,-1.29,
SAGA_Scl_000183,-1.54,
SAGA_Scl_000183,-1.58,0.25
SAGA_Scl_000183,-1.42,
SAGA_Scl_000185,-1.31,
SAGA_Scl_000185,-1.4,-0.79
SAGA_Scl_000185,-1.21,
SAGA_Scl_000185,-1.38,
SAGA_Scl_000186,-1.9,
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-2.01,-1.16
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-1.89,
SAGA_Scl_000186,-1.99,
SAGA_Scl_000190,-1.67,
SAGA_Scl_000190,-1.72,-0.33
SAGA_Scl_000190,-1.51,
SAGA_Scl_000191,-1.67,
SAGA_Scl_000191,-1.96,-0.48
SAGA_Scl_000191,-1.86,
SAGA_Scl_000195,-2.25,
SAGA_Scl_000195,-2.4,-0.6
SAGA_Scl_000195,-2.23,
SAGA_Scl_000196,-1.18,
SAGA_Scl_000196,-1.24,-0.64
SAGA_Scl_000196,-1.03,
SAGA_Scl_000197,-1.54,
SAGA_Scl_000197,-1.78,-0.23
SAGA_Scl_000197,-1.52,
SAGA_Scl_000198,-1.19,
SAGA_Scl_000198,-1.45,0.04
SAGA_Scl_000198,-1.29,
SAGA_Scl_000199,-1.39,
SAGA_Scl_000199,-1.52,-0.53
SAGA_Scl_000199,-1.29,
SAGA_Scl_000200,-1.55,
SAGA_Scl_000200,-1.61,-0.85
SAGA_Scl_000200,-1.46,
SAGA_Scl_000200,-1.6,
SAGA_Scl_000203,-1.56,
SAGA_Scl_000203,-1.78,-1.14
SAGA_Scl_000203,-1.57,
SAGA_Scl_000203,-1.76,
SAGA_Scl_000205,-1.33,
SAGA_Scl_000205,-1.41,-0.52
SAGA_Scl_000205,-1.24,
SAGA_Scl_000205,-1.39,
SAGA_Scl_000206,-1.33,
SAGA_Scl_000206,-1.27,-0.61
SAGA_Scl_000206,-1.05,
SAGA_Scl_000206,-1.26,
SAGA_Scl_000208,-1.83,
SAGA_Scl_000208,-1.96,-0.54
SAGA_Scl_000208,-1.78,
SAGA_Scl_000208,-1.94,
SAGA_Scl_000212,-1.58,
SAGA_Scl_000212,-1.75,-0.56
SAGA_Scl_000212,-1.59,
SAGA_Scl_000213,-1.29,
SAGA_Scl_000213,-1.44,-0.38
SAGA_Scl_000213,-1.27,
SAGA_Scl_000215,-1.42,
SAGA_Scl_000215,-1.57,-0.46
SAGA_Scl_000215,-1.59,
SAGA_Scl_000215,-1.42,
SAGA_Scl_000215,-1.55,
SAGA_Scl_000216,-1.3,
SAGA_Scl_000216,-1.43,-0.65
SAGA_Scl_000216,-1.23,
SAGA_Scl_000216,-1.41,
SAGA_Scl_000217,-1.68,
SAGA_Scl_000217,-1.87,-0.53
SAGA_Scl_000217,-1.72,
SAGA_Scl_000217,-1.86,
SAGA_Scl_000218,-1.62,
SAGA_Scl_000218,-1.72,-0.92
SAGA_Scl_000218,-1.57,
SAGA_Scl_000218,-1.71,
SAGA_Scl_000219,-0.96,
SAGA_Scl_000219,-1.07,-0.53
SAGA_Scl_000219,-0.9,
SAGA_Scl_000219,-1.06,
SAGA_Scl_000220,-1.65,
SAGA_Scl_000220,-1.81,-0.97
SAGA_Scl_000220,-1.65,
SAGA_Scl_000220,-1.79,
SAGA_Scl_000222,-0.92,
SAGA_Scl_000222,-1.09,-0.36
SAGA_Scl_000222,-0.88,
SAGA_Scl_000226,-2.09,
SAGA_Scl_000226,-1.99,-0.83
SAGA_Scl_000226,-1.97,
SAGA_Scl_000226,-1.98,
SAGA_Scl_000227,-2.01,
SAGA_Scl_000227,-2.28,-0.44
SAGA_Scl_000227,-2.09,
SAGA_Scl_000227,-2.26,
SAGA_Scl_000233,-1.77,
SAGA_Scl_000233,-1.9,-0.83
SAGA_Scl_000233,-1.77,
SAGA_Scl_000233,-1.88,
SAGA_Scl_000234,-1.64,
SAGA_Scl_000234,-1.67,-0.54
SAGA_Scl_000234,-1.7,
SAGA_Scl_000234,-1.53,
SAGA_Scl_000234,-1.66,
SAGA_Scl_000241,-1.18,
SAGA_Scl_000241,-1.3,-0.76
SAGA_Scl_000241,-1.12,
SAGA_Scl_000241,-1.29,
SAGA_Scl_000242,-2.4,
SAGA_Scl_000242,-2.59,-0.21
SAGA_Scl_000242,-2.41,
SAGA_Scl_000242,-2.58,
SAGA_Scl_000243,-1,
SAGA_Scl_000243,-1.09,-0.48
SAGA_Scl_000243,-0.96,
SAGA_Scl_000246,-1.25,
SAGA_Scl_000246,-1.42,-0.52
SAGA_Scl_000246,-1.23,
SAGA_Scl_000246,-1.41,
SAGA_Scl_000249,-1.31,
SAGA_Scl_000249,-1.37,
SAGA_Scl_000249,-1.43,-0.94
SAGA_Scl_000249,-1.16,
SAGA_Scl_000249,-1.41,
SAGA_Scl_000250,-2.66,
SAGA_Scl_000250,-2.57,-0.92
SAGA_Scl_000250,-2.91,0.31
SAGA_Scl_000250,-2.42,
SAGA_Scl_000253,-1.11,
SAGA_Scl_000253,-1.25,-0.09
SAGA_Scl_000253,-1.09,
SAGA_Scl_000253,-1.24,
SAGA_Scl_000255,-1.16,
SAGA_Scl_000255,-1.38,-0.21
SAGA_Scl_000255,-1.13,
SAGA_Scl_000256,-1.18,
SAGA_Scl_000256,-1.31,-0.56
SAGA_Scl_000256,-1.07,
SAGA_Scl_000256,-1.3,
SAGA_Scl_000257,-1.21,
SAGA_Scl_000257,-1.28,-0.73
SAGA_Scl_000257,-1.09,
SAGA_Scl_000257,-1.27,
SAGA_Scl_000262,-1.95,
SAGA_Scl_000262,-2.1,-1.04
SAGA_Scl_000262,-1.92,
SAGA_Scl_000262,-2.08,
SAGA_Scl_000264,-1.97,
SAGA_Scl_000264,-2.08,-0.51
SAGA_Scl_000264,-1.92,
SAGA_Scl_000264,-2.07,
SAGA_Scl_000265,-1.11,
SAGA_Scl_000265,-1.27,-0.72
SAGA_Scl_000265,-1.04,
SAGA_Scl_000265,-1.25,
SAGA_Scl_000266,-0.95,
SAGA_Scl_000266,-1.09,-0.85
SAGA_Scl_000266,-0.89,
SAGA_Scl_000266,-1.08,
SAGA_Scl_000267,-1.14,
SAGA_Scl_000267,-1.25,-0.58
SAGA_Scl_000267,-1.06,
SAGA_Scl_000268,-1.68,
SAGA_Scl_000268,-1.6,
SAGA_Scl_000268,-1.92,-0.68
SAGA_Scl_000269,-1.71,
SAGA_Scl_000269,-1.78,-0.28
SAGA_Scl_000269,-1.68,
SAGA_Scl_000270,-1.53,
SAGA_Scl_000270,-1.52,-0.51
SAGA_Scl_000270,-1.33,
SAGA_Scl_000271,-1.32,
SAGA_Scl_000271,-1.4,-0.74
SAGA_Scl_000271,-1.21,
SAGA_Scl_000271,-1.39,
SAGA_Scl_000275,-1.37,
SAGA_Scl_000275,-1.54,-0.25
SAGA_Scl_000275,-1.4,
SAGA_Scl_000275,-1.53,
SAGA_Scl_000277,-2.05,
SAGA_Scl_000277,-2.27,0.07
SAGA_Scl_000277,-2.09,
SAGA_Scl_000277,-2.25,
SAGA_Scl_000278,-1.72,
SAGA_Scl_000278,-1.87,-0.82
SAGA_Scl_000278,-1.75,
SAGA_Scl_000280,-1.27,
SAGA_Scl_000280,-1.61,-0.28
SAGA_Scl_000280,-1.18,
SAGA_Scl_000281,-1.62,
SAGA_Scl_000281,-1.83,0.09
SAGA_Scl_000281,-1.66,
SAGA_Scl_000283,-1.78,
SAGA_Scl_000283,-1.88,-0.55
SAGA_Scl_000283,-1.7,
SAGA_Scl_000283,-1.86,
SAGA_Scl_000285,-2.37,
SAGA_Scl_000285,-2.44,0.16
SAGA_Scl_000285,-2.27,
SAGA_Scl_000288,-1.25,
SAGA_Scl_000288,-1.38,0.05
SAGA_Scl_000288,-1.14,
SAGA_Scl_000288,-1.37,
SAGA_Scl_000289,-1.89,
SAGA_Scl_000289,-2.09,-0.61
SAGA_Scl_000289,-1.92,
SAGA_Scl_000289,-2.07,
SAGA_Scl_000293,-1.27,
SAGA_Scl_000293,-1.37,-0.81
SAGA_Scl_000293,-1.18,
SAGA_Scl_000293,-1.36,
SAGA_Scl_000294,-1.26,
SAGA_Scl_000294,-1.37,-0.69
SAGA_Scl_000294,-1.16,
SAGA_Scl_000294,-1.35,
SAGA_Scl_000295,-1.16,
SAGA_Scl_000295,-1.28,-0.68
SAGA_Scl_000295,-1.08,
SAGA_Scl_000299,-1.89,
SAGA_Scl_000299,-2.01,-0.73
SAGA_Scl_000299,-1.87,
SAGA_Scl_000299,-2,
SAGA_Scl_000301,-1.79,
SAGA_Scl_000301,-1.94,-0.15
SAGA_Scl_000301,-1.82,
SAGA_Scl_000301,-1.92,
SAGA_Scl_000302,-1.3,
SAGA_Scl_000302,-1.45,-0.57
SAGA_Scl_000302,-1.26,
SAGA_Scl_000302,-1.43,
SAGA_Scl_000304,-1.14,
SAGA_Scl_000304,-1.27,-0.63
SAGA_Scl_000304,-1.04,
SAGA_Scl_000304,-1.26,
SAGA_Scl_000305,-1.32,
SAGA_Scl_000305,-1.44,-0.81
SAGA_Scl_000305,-1.19,
SAGA_Scl_000305,-1.43,
SAGA_Scl_000308,-1.88,
SAGA_Scl_000308,-2.03,-0.7
SAGA_Scl_000308,-1.87,
SAGA_Scl_000309,-1.07,
SAGA_Scl_000309,-1.32,-0.48
SAGA_Scl_000309,-1.13,
SAGA_Scl_000311,-2.14,
SAGA_Scl_000311,-2.26,-0.83
SAGA_Scl_000311,-2.11,
SAGA_Scl_000314,-1.68,
SAGA_Scl_000314,-1.73,-0.66
SAGA_Scl_000314,-1.61,
SAGA_Scl_000318,-1.19,
SAGA_Scl_000318,-1.29,-0.55
SAGA_Scl_000318,-1.13,
SAGA_Scl_000318,-1.27,
SAGA_Scl_000320,-1.33,
SAGA_Scl_000320,-1.43,-0.64
SAGA_Scl_000320,-1.27,
SAGA_Scl_000320,-1.42,
SAGA_Scl_000324,-2.54,
SAGA_Scl_000324,-1.32,
SAGA_Scl_000324,-2.65,-0.72
SAGA_Scl_000324,-2.55,
SAGA_Scl_000324,-2.63,
SAGA_Scl_000328,-1.34,
SAGA_Scl_000328,-1.36,-0.21
SAGA_Scl_000328,-1.21,
SAGA_Scl_000329,-1.22,
SAGA_Scl_000329,-1.4,-0.47
SAGA_Scl_000329,-1.18,
SAGA_Scl_000330,-2.11,
SAGA_Scl_000330,-2.41,
SAGA_Scl_000330,-2.11,-0.48
SAGA_Scl_000330,-2.08,
SAGA_Scl_000331,-1.48,
SAGA_Scl_000331,-1.56,-0.53
SAGA_Scl_000331,-1.37,
SAGA_Scl_000331,-1.54,
SAGA_Scl_000332,-1.17,
SAGA_Scl_000332,-1.33,-0.11
SAGA_Scl_000332,-1.18,
SAGA_Scl_000334,-1.03,
SAGA_Scl_000334,-1.16,-0.67
SAGA_Scl_000334,-0.9,
SAGA_Scl_000334,-1.14,
SAGA_Scl_000338,-2.04,
SAGA_Scl_000338,-2.07,-0.54
SAGA_Scl_000338,-1.9,
SAGA_Scl_000339,-1.81,
SAGA_Scl_000339,-1.96,-0.17
SAGA_Scl_000339,-1.81,
SAGA_Scl_000340,-2.74,
SAGA_Scl_000340,-2.94,0.68
SAGA_Scl_000340,-2.85,
SAGA_Scl_000341,-1.89,
SAGA_Scl_000341,-2.07,-0.11
SAGA_Scl_000341,-1.86,
SAGA_Scl_000343,-1.35,
SAGA_Scl_000343,-1.45,-0.15
SAGA_Scl_000343,-1.24,
SAGA_Scl_000343,-1.42,
SAGA_Scl_000345,-1.71,
SAGA_Scl_000345,-1.74,-0.64
SAGA_Scl_000345,-1.58,
SAGA_Scl_000345,-1.72,
SAGA_Scl_000346,-1.17,
SAGA_Scl_000346,-1.26,-0.94
SAGA_Scl_000346,-1.12,
SAGA_Scl_000347,-1.48,
SAGA_Scl_000347,-1.63,-0.76
SAGA_Scl_000347,-1.44,
SAGA_Scl_000347,-1.62,
SAGA_Scl_000350,-1.66,
SAGA_Scl_000350,-1.79,-0.03
SAGA_Scl_000350,-1.59,
SAGA_Scl_000351,-1.65,
SAGA_Scl_000351,-1.76,-0.43
SAGA_Scl_000351,-1.57,
SAGA_Scl_000353,-1.74,
SAGA_Scl_000353,-1.86,-0.65
SAGA_Scl_000353,-1.72,
SAGA_Scl_000353,-1.85,
SAGA_Scl_000354,-1.57,
SAGA_Scl_000354,-1.79,-0.16
SAGA_Scl_000354,-1.59,
SAGA_Scl_000354,-1.78,
SAGA_Scl_000355,-1.18,
SAGA_Scl_000355,-1.22,-0.88
SAGA_Scl_000355,-1,
SAGA_Scl_000355,-1.2,
SAGA_Scl_000356,-1.49,
SAGA_Scl_000356,-1.81,-0.9
SAGA_Scl_000356,-1.45,
SAGA_Scl_000356,-1.8,
SAGA_Scl_000358,-1.86,
SAGA_Scl_000358,-2.1,-0.05
SAGA_Scl_000358,-1.87,
SAGA_Scl_000359,-2.03,
SAGA_Scl_000359,-2.18,-0.39
SAGA_Scl_000359,-2.04,
SAGA_Scl_000359,-2.17,
SAGA_Scl_000360,-1.57,
SAGA_Scl_000360,-1.65,-0.04
SAGA_Scl_000360,-1.42,
SAGA_Scl_000361,-1.3,
SAGA_Scl_000361,-1.33,-1.07
SAGA_Scl_000361,-1.22,
SAGA_Scl_000361,-1.33,
SAGA_Scl_000362,-1.27,
SAGA_Scl_000362,-1.43,-0.77
SAGA_Scl_000362,-1.2,
SAGA_Scl_000362,-1.41,
SAGA_Scl_000363,-1.61,
SAGA_Scl_000363,-1.73,-0.62
SAGA_Scl_000363,-1.57,
SAGA_Scl_000363,-1.71,
SAGA_Scl_000366,-2.64,
SAGA_Scl_000366,-2.79,0.05
SAGA_Scl_000366,-2.62,
SAGA_Scl_000368,-2.36,
SAGA_Scl_000368,-2.5,0.39
SAGA_Scl_000368,-2.36,
SAGA_Scl_000372,-2.58,
SAGA_Scl_000372,-3.03,0.56
SAGA_Scl_000372,-2.61,
SAGA_Scl_000374,-0.9,
SAGA_Scl_000374,-1.03,-0.39
SAGA_Scl_000374,-0.8,
SAGA_Scl_000374,-1.01,
SAGA_Scl_000380,-1.22,
SAGA_Scl_000380,-1.29,-0.61
SAGA_Scl_000380,-1.1,
SAGA_Scl_000384,-1.05,
SAGA_Scl_000384,-1.16,-0.78
SAGA_Scl_000384,-0.97,
SAGA_Scl_000384,-1.15,
SAGA_Scl_000390,-2.5,
SAGA_Scl_000390,-2.86,0.12
SAGA_Scl_000390,-2.53,
SAGA_Scl_000394,-1.27,
SAGA_Scl_000394,-1.36,-0.55
SAGA_Scl_000394,-1.2,
SAGA_Scl_000402,-2.59,
SAGA_Scl_000402,-2.83,0.42
SAGA_Scl_000402,-2.64,
SAGA_Scl_000404,-2.87,
SAGA_Scl_000404,-2.71,-0.42
SAGA_Scl_000404,-2.49,
SAGA_Scl_000405,-1.86,
SAGA_Scl_000405,-2.06,-0.4
SAGA_Scl_000405,-1.92,
SAGA_Scl_000405,-2.05,
SAGA_Scl_000406,-1.73,
SAGA_Scl_000406,-1.76,-0.16
SAGA_Scl_000406,-1.53,
SAGA_Scl_000407,-1.11,
SAGA_Scl_000407,-1.17,-0.57
SAGA_Scl_000407,-0.96,
SAGA_Scl_000407,-1.16,
SAGA_Scl_000414,-1.11,
SAGA_Scl_000414,-1.3,-0.42
SAGA_Scl_000414,-1.06,
SAGA_Scl_000415,-1.5,
SAGA_Scl_000415,-1.66,-0.84
SAGA_Scl_000415,-1.42,
SAGA_Scl_000415,-1.64,
SAGA_Scl_000417,-1.64,
SAGA_Scl_000417,-1.93,-0.07
SAGA_Scl_000417,-1.6,
SAGA_Scl_000418,-1.48,
SAGA_Scl_000418,-1.52,-0.31
SAGA_Scl_000418,-1.4,
SAGA_Scl_000430,-1.77,
SAGA_Scl_000430,-2.3,-0.59
SAGA_Scl_000430,-2.12,
SAGA_Scl_000435,-3.96,0.09
SAGA_Scl_000435,,-0.28
SAGA_Scl_000435,-3.87,
SAGA_Scl_000436,-1.5,-0.15
SAGA_Scl_000436,-1.27,
SAGA_Scl_000437,-1.13,-0.61
SAGA_Scl_000437,-0.89,
SAGA_Scl_000438,-1.79,-0.06
SAGA_Scl_000438,-1.64,
SAGA_Scl_000440,-1.94,-0.17
SAGA_Scl_000440,-1.79,
SAGA_Scl_000442,-2.38,-0.86
SAGA_Scl_000444,-3.31,-0.77
SAGA_Scl_000444,-3,
SAGA_Scl_000445,-3.88,-0.29
SAGA_Scl_000445,-3.47,
SAGA_Scl_000448,-3.45,-1.39
SAGA_Scl_000448,-3.35,
SAGA_Scl_000450,-3.22,-1.08
SAGA_Scl_000450,-3,0.33
SAGA_Scl_000450,-2.81,-1.05
SAGA_Scl_000451,-3.77,0.34
SAGA_Scl_000451,-3.99,
SAGA_Scl_000453,-2.93,-0.07
SAGA_Scl_000454,-2.23,-0.31
SAGA_Scl_000455,-2.28,-0.8
SAGA_Scl_000456,-2.15,-0.39
SAGA_Scl_000457,-2.02,-0.83
SAGA_Scl_000458,-1.55,-1.17
SAGA_Scl_000459,-1.87,-0.87
SAGA_Scl_000460,-2,-0.1
SAGA_Scl_000461,-1.69,-0.55
SAGA_Scl_000462,-2.49,0.12
SAGA_Scl_000463,-1.88,-0.64
SAGA_Scl_000464,-1.76,-0.97
SAGA_Scl_000465,-1.74,-0.42
SAGA_Scl_000466,-1.82,-0.32
SAGA_Scl_000467,-1.88,-0.09
SAGA_Scl_000468,-2.05,-0.9
SAGA_Scl_000469,-1.99,-0.53
SAGA_Scl_000470,-2.39,-0.62
SAGA_Scl_000471,-2.5,-0.48
SAGA_Scl_000472,-1.54,-0.76
SAGA_Scl_000473,-1.97,-0.73
SAGA_Scl_000474,-1.73,-0.28
SAGA_Scl_000475,-1.93,-0.76
SAGA_Scl_000476,,
SAGA_Scl_000476,-2.23,1.3
SAGA_Scl_000477,-2.74,0.21
SAGA_Scl_000477,-2.46,-0.92
SAGA_Scl_000478,-2.32,-0.17
SAGA_Scl_000479,-1.71,-0.46
SAGA_Scl_000480,-2.14,-0.38
SAGA_Scl_000481,-1.92,-0.87
SAGA_Scl_000482,-1.76,-0.6
SAGA_Scl_000483,-2.27,-0.49
SAGA_Scl_000484,-1.46,-0.46
SAGA_Scl_000485,-1.56,-0.41
SAGA_Scl_000486,-2.51,-0.71
SAGA_Scl_000487,-1.96,-0.58
SAGA_Scl_000488,-1.75,-0.9
SAGA_Scl_000489,-1.56,-1.02
SAGA_Scl_000490,-2.05,-0.67
SAGA_Scl_000491,-1.6,-0.29
SAGA_Scl_000492,-2.26,-1.15
SAGA_Scl_000493,-2.08,-0.76
SAGA_Scl_000494,-2.11,-0.25
SAGA_Scl_000495,-2.52,-0.84
SAGA_Scl_000496,-2.44,-0.67
SAGA_Scl_000497,-2.45,0.05
SAGA_Scl_000497,-2.27,-0.49
SAGA_Scl_000498,-2.09,-0.82
SAGA_Scl_000499,-1.9,-0.55
SAGA_Scl_000500,-2.11,-0.87
SAGA_Scl_000501,-1.76,-1.14
SAGA_Scl_000502,-2.72,0.19
SAGA_Scl_000502,-2.23,-1.1
SAGA_Scl_000503,-2.24,-0.75
SAGA_Scl_000504,-1.72,-0.82
SAGA_Scl_000505,-1.68,-1.01
SAGA_Scl_000506,-2.41,-0.45
SAGA_Scl_000507,-1.19,-1.18
SAGA_Scl_000508,-2.06,-0.54
SAGA_Scl_000509,-1.89,-0.66
SAGA_Scl_000510,-2.04,-0.29
SAGA_Scl_000511,-1.7,-1.23
SAGA_Scl_000512,-1.57,-0.69
SAGA_Scl_000513,-2.24,1.35
SAGA_Scl_000514,-2.57,0.01
SAGA_Scl_000514,-2.42,-0.5
SAGA_Scl_000515,-1.23,-0.84
SAGA_Scl_000516,-2.04,-0.41
SAGA_Scl_000517,-2.19,-1.03
SAGA_Scl_000518,-2.03,-0.63
SAGA_Scl_000519,-1.7,-0.83
SAGA_Scl_000520,-1.97,-0.62
SAGA_Scl_000521,-2.32,-0.7
SAGA_Scl_000522,-1.12,-0.75
SAGA_Scl_000523,-2.25,-0.5
SAGA_Scl_000524,-2.11,-0.45
SAGA_Scl_000525,-1.62,-0.76
SAGA_Scl_000526,-2.19,-0.45
SAGA_Scl_000527,-2.44,0.29
SAGA_Scl_000527,-2.16,-0.35
SAGA_Scl_000528,-2.49,-0.53
SAGA_Scl_000529,-2.22,-0.88
SAGA_Scl_000530,-2,-0.47
SAGA_Scl_000531,-1.53,-1
SAGA_Scl_000532,-1.91,-0.3
SAGA_Scl_000533,-2.59,-0.66
SAGA_Scl_000534,-1.48,-0.66
SAGA_Scl_000535,-1.97,
SAGA_Scl_000535,-3.1,0.34
SAGA_Scl_000536,-1.91,
SAGA_Scl_000536,-3.15,0.72
SAGA_Scl_000537,-1.49,
SAGA_Scl_000537,-2.16,-0.11
SAGA_Scl_000539,-3.03,0.07
SAGA_Scl_000540,-2.94,0.5
SAGA_Scl_000541,-3.33,0.57
SAGA_Scl_000543,-1.59,-0.44
