JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Na/Fe
2025,YON13,HE0253-1331,HE_0253-1331, -3.01, -0.17
2027,YON13,HE0314-1739,HE_0314-1739, -2.86, -0.45
2037,YON13,HE1055+0104,HE_1055+0104, -2.87, -0.07
2038,YON13,HE1116-0054,HE_1116-0054, -3.49, -0.23
2039,YON13,HE1142-1422,HE_1142-1422, -2.84, -0.06
2040,YON13,HE1201-1512,HE_1201-1512, -3.86, -0.35
2041,YON13,HE1204-0744,HE_1204-0744, -2.71, -0.05
2042,YON13,HE1207-3108,HE_1207-3108, -2.7,0.55
2045,YON13,HE1320-2952,HE_1320-2952, -3.69,0.09
2050,YON13,HE1402-0523,HE_1402-0523, -3.17, -0.15
2051,YON13,HE1506-0113,HE_1506-0113, -3.54,1.65
2053,YON13,HE2032-5633,HE_2032-5633, -3.63, -0.0
2054,YON13,HE2047-5612,HE_2047-5612, -3.14, -0.26
2055,YON13,HE2135-1924,HE_2135-1924, -3.31, -0.04
2056,YON13,HE2136-6030,HE_2136-6030, -2.88, -0.39
2058,YON13,HE2139-5432,HE_2139-5432, -4.02,2.15
2059,YON13,HE2141-0726,HE_2141-0726, -2.72, -0.36
2069,YON13,HE2142-5656,HE_2142-5656, -2.87,0.81
2072,YON13,HE2202-4831,HE_2202-4831, -2.78,1.44
2076,YON13,HE2246-2410,HE_2246-2410, -2.96,1.41
2077,YON13,HE2247-7400,HE_2247-7400, -2.87,0.82
2728,ROE14b,G64-12,Wolf_1492, -3.58, -0.06
