[Fe/H],[Eu/Fe],[Mg/Fe],
-1.98,0.99,0.35,0.64
-1.66,0.62,0.34,0.28
-1.56,0.31,0.16,0.15
-1.77,0.24,0.24,0
-1.24,0.19,0.07,0.12
-2.1,0.44,0.67,-0.23
-0.97,1.4,-0.24,1.64
-1.72,0.25,0.14,0.11
-1.2,-0.31,-0.21,-0.1
-2.03,0.02,0.4,-0.38
-2.38,0.21,0.52,-0.31
