# Object,[Mg/Fe],[Na/Fe]
SAGA_For_000092,0.05,-0.76
SAGA_For_000107,,
SAGA_For_000107,-0.34,-0.61
SAGA_For_000117,,
SAGA_For_000117,,
SAGA_For_000117,-0.16,-0.57
SAGA_For_000243,-0.33,-1.2
SAGA_For_000243,,
SAGA_For_000301,-0.1,-1.13
SAGA_For_000301,,
SAGA_For_000306,-0.22,-0.56
SAGA_For_000306,,
SAGA_For_000322,-0.19,-1.22
SAGA_For_000322,,
SAGA_For_000323,-0.08,-0.61
SAGA_For_000323,,
SAGA_For_000346,-0.03,-0.72
SAGA_For_000346,,
SAGA_For_000378,,
SAGA_For_000378,0.08,-0.47
SAGA_For_000378,,
SAGA_For_000381,,
SAGA_For_000381,-0.05,-0.2
SAGA_For_000381,,
SAGA_For_000390,0,-0.56
SAGA_For_000390,,
SAGA_For_000397,-0.08,-0.59
SAGA_For_000397,,
SAGA_For_000399,-0.14,-0.31
SAGA_For_000399,,
SAGA_For_000407,,
SAGA_For_000407,0.17,0.14
SAGA_For_000407,,
SAGA_For_000415,,
SAGA_For_000415,-0.06,-0.38
SAGA_For_000415,,
SAGA_For_000415,-0.39,
SAGA_For_000421,,
SAGA_For_000421,-0.09,-0.39
SAGA_For_000421,,
SAGA_For_000424,,
SAGA_For_000424,-0.05,-0.27
SAGA_For_000424,,
SAGA_For_000425,,
SAGA_For_000425,-0.04,-0.42
SAGA_For_000425,,
SAGA_For_000440,,
SAGA_For_000440,-0.08,-0.46
SAGA_For_000440,,
SAGA_For_000453,,
SAGA_For_000453,-0.09,-0.42
SAGA_For_000453,,
SAGA_For_000469,,
SAGA_For_000469,-0.11,-0.85
SAGA_For_000469,,
SAGA_For_000474,-0.12,-0.39
SAGA_For_000474,,
SAGA_For_000475,,
SAGA_For_000475,-0.09,-0.52
SAGA_For_000475,,
SAGA_For_000478,,
SAGA_For_000478,0,-0.72
SAGA_For_000478,,
SAGA_For_000481,,
SAGA_For_000481,-0.03,-0.38
SAGA_For_000481,,
SAGA_For_000659,0.44,0.06
SAGA_For_000659,,
SAGA_For_000690,,
SAGA_For_000690,0,-0.47
SAGA_For_000691,,
SAGA_For_000691,-0.08,-0.55
SAGA_For_000692,,
SAGA_For_000692,-0.09,-0.48
SAGA_For_000693,,
SAGA_For_000693,-0.13,-0.78
SAGA_For_000693,-0.08,
SAGA_For_000694,,
SAGA_For_000694,-0.01,-0.51
SAGA_For_000694,-0.3,
SAGA_For_000695,,
SAGA_For_000695,-0.13,-0.82
SAGA_For_000696,,
SAGA_For_000696,0.03,-0.61
SAGA_For_000696,-0.24,
SAGA_For_000697,,
SAGA_For_000697,-0.02,-0.34
SAGA_For_000699,,
SAGA_For_000699,-0.06,-0.38
SAGA_For_000700,,
SAGA_For_000700,0.02,-0.86
SAGA_For_000701,,
SAGA_For_000701,-0.29,-0.69
SAGA_For_000740,-0.15,-0.47
SAGA_For_000780,-0.15,-0.51
SAGA_For_000780,-0.41,
SAGA_For_000784,0.04,-0.51
SAGA_For_000796,-0.06,-0.48
SAGA_For_000847,-0.11,-0.42
SAGA_For_000925,-0.14,-0.33
SAGA_For_000941,-0.08,-0.53
SAGA_For_000941,-0.25,
SAGA_For_000947,-0.11,-0.4
SAGA_For_000963,-0.19,-0.59
SAGA_For_000975,-0.13,-0.64
SAGA_For_000975,-0.42,
SAGA_For_000994,0.42,-0.3
SAGA_For_001032,-0.06,-0.65
SAGA_For_001044,-0.19,-0.53
SAGA_For_001047,-0.18,-0.77
SAGA_For_001050,,
SAGA_For_001050,-0.28,-0.7
SAGA_For_001050,-0.36,
SAGA_For_001050,,
SAGA_For_001086,-0.16,-0.63
SAGA_For_001093,-0.27,-0.53
SAGA_For_001093,-0.26,
SAGA_For_001102,-0.09,-0.7
SAGA_For_001154,-0.13,-0.38
SAGA_For_001164,-0.18,-0.52
SAGA_For_001173,,
SAGA_For_001173,0.04,-0.51
SAGA_For_001173,-0.28,
SAGA_For_001173,,
SAGA_For_001177,-0.05,-0.4
SAGA_For_001177,-0.44,
SAGA_For_001182,-0.05,-0.56
SAGA_For_001186,,
SAGA_For_001186,-0.09,-0.47
SAGA_For_001186,-0.17,
SAGA_For_001214,-0.05,-0.77
SAGA_For_001214,-0.14,
SAGA_For_001223,-0.02,-0.77
SAGA_For_001276,-0.03,-0.56
SAGA_For_001302,0.01,-0.37
SAGA_For_001307,0.04,-0.54
SAGA_For_001323,-0.03,-0.7
SAGA_For_001338,0,-0.68
SAGA_For_001396,-0.19,-0.54
