Name,energy_mean(km^2 s^(-2)),j_phi(kpc s^(-1)),Lz
2MASS J22302641-1949527,-172566.7559,132.0981286,-132.0981286
BPS CS 29491-0069,-168130.3453,-988.7888662,988.7888662
HE 2229-4153,-127014.039,-235.9093243,235.9093243
2MASS J22345447-6605172,-136585.5791,-230.3719088,230.3719088
BM308,-125430.8937,729.1711193,-729.1711193
HE 2234-4757,-160297.3733,-301.7674239,301.7674239
2MASS J22373316-4341181,-160589.4871,-811.1567189,811.1567189
2MASS J22394827-0803536,-129018.4273,-943.4856226,943.4856226
HE 2242-1930,-165230.7813,-141.9199507,141.9199507
HE 2244-1503,-150069.6339,454.6542547,-454.6542547
2MASS J22492756-2238289,-146438.6023,542.7917419,-542.7917419
HE 2252-4225,-164556.9653,-21.77859874,21.77859874
HE 2252-4157,-174825.1423,166.2591282,-166.2591282
2MASS J22562536-0719562,-163041.7297,-916.4647328,916.4647328
2MASS J23022289-6833233,-160095.7048,1126.719198,-1126.719198
HE 2301-4024,-148350.3455,920.6534634,-920.6534634
2MASS J23060975-6107368,-164840.1683,44.78144851,-44.78144851
2MASS J23100319-7702165,-170553.1659,-611.7705488,611.7705488
BPS CS 29513-0003,-148043.3573,-8.038631232,8.038631232
J231923.85+191715.4,-165569.256,-871.028975,871.028975
BPS CS 22888-0047,-168603.9426,1226.971555,-1226.971555
BPS CS 22945-0017,-168402.9976,-992.2261327,992.2261327
2MASS J23242766-2728055,-157839.7615,-1.72916129,1.72916129
2MASS J23251897-0815539,-165627.3607,70.33614373,-70.33614373
HE2322-6125,-124049.7819,-1745.334004,1745.334004
2MASS J23265258-0159248,-165176.9696,1254.938066,-1254.938066
2MASS J23285061-0432368,-152002.6564,-359.5646065,359.5646065
HD 221170,-107860.023,-1720.409574,1720.409574
HE 2327-5642,-158826.9643,-1270.292705,1270.292705
BPS CS 22941-0017,-151822.2534,-1255.620927,1255.620927
2MASS J23342332-2748003,-166902.5664,-840.571846,840.571846
BPS CS 30315-0029,-135224.9456,-1938.328136,1938.328136
2MASS J23362202-5607498,-163920.2168,-851.4521151,851.4521151
BPS CS 22952-0015,-169125.0471,-1047.367886,1047.367886
BPS CS 29499-0003,-121364.2005,-774.5462461,774.5462461
2MASS J23411581-6406440,-177293.8393,-509.5021061,509.5021061
2MASS J23425814-4327352,-141611.6895,1197.211348,-1197.211348
HD 222925,-112281.3386,1860.732976,-1860.732976
2MASS J23475942-5701184,-68538.9682,-2866.530439,2866.530439
BPS CS 22966-0057,-129269.1076,-626.3219205,626.3219205
2MASS J23490902-2447176,-172056.8418,-646.7655486,646.7655486
BPS CS 29499-0058,-179210.196,-444.3889213,444.3889213
BPS CS 22945-0058,-164301.1684,-1130.522112,1130.522112
BPS CS 22945-0056,-56257.25794,5977.115238,-5977.115238
BPS CS 29517-0025,-159585.4272,-344.0282889,344.0282889
SDSS J235718.91-005247.8,-128470.3047,-1387.729938,1387.729938
,-131347.0448,81.91888054,-81.91888054
,-150631.8309,540.0175443,-540.0175443
,-140932.1919,-583.8696599,583.8696599
,-159881.5334,10.25982774,-10.25982774
,-163269.7595,1003.160869,-1003.160869
,-128364.3696,-1312.394777,1312.394777
,-160128.8472,851.402511,-851.402511
,-145188.8545,1460.791496,-1460.791496
,-163130.2681,-1058.946924,1058.946924
,-177898.9706,-711.6961213,711.6961213
,-142449.4979,-1366.088401,1366.088401
,-173671.1128,128.3712337,-128.3712337
,-138100.639,-639.5167638,639.5167638
,-176448.8925,-339.1335743,339.1335743
,-167776.3076,87.12870275,-87.12870275
,-159312.8721,-821.970367,821.970367
,-157382.9932,-223.2833135,223.2833135
,-153696.0819,831.1668352,-831.1668352
,-169170.637,-186.4577094,186.4577094
,-161379.8799,292.2096019,-292.2096019
,-162452.8674,707.5747368,-707.5747368
,-168372.3164,-616.4039339,616.4039339
,-117804.2331,-1747.523165,1747.523165
,-169693.903,-599.7079732,599.7079732
,-164792.1488,-802.7067191,802.7067191
,-167485.6575,-709.9016696,709.9016696
,-162589.1239,1144.265085,-1144.265085
,-137442.1392,-1625.671529,1625.671529
,-133679.1262,2587.947817,-2587.947817
,-135409.6124,-910.3570842,910.3570842
,-171696.4535,309.2373932,-309.2373932
,-83954.27413,3619.375174,-3619.375174
,-171235.726,134.9852219,-134.9852219
,-163222.3542,133.8851787,-133.8851787
,-159309.0721,814.1214832,-814.1214832
,-140918.3353,268.7294182,-268.7294182
,-166465.9107,-1037.94454,1037.94454
,-137328.3368,-1404.75682,1404.75682
,-169301.0516,-694.9098302,694.9098302
,-155418.5901,-455.7963841,455.7963841
,-169658.5864,-1117.346897,1117.346897
,-167830.4806,-858.6242363,858.6242363
,-163474.565,-1487.412524,1487.412524
,-167948.6216,-898.790635,898.790635
,-165426.5503,-267.960097,267.960097
,-171443.3956,314.5954614,-314.5954614
,-160915.4867,-1270.450827,1270.450827
,-117932.2782,-2749.731932,2749.731932
,-159532.408,-1255.840614,1255.840614
,-165285.3464,-1280.409299,1280.409299
,-154211.9899,756.4839702,-756.4839702
,-55619.26291,-3730.697599,3730.697599
,-178409.3167,-845.991758,845.991758
,-173242.8199,-159.9815012,159.9815012
,-134505.0794,62.72341141,-62.72341141
,-142922.1688,-2407.585337,2407.585337
,-177261.3035,408.6720349,-408.6720349
,-86142.30233,30.27293538,-30.27293538
,-168067.5284,625.8366126,-625.8366126
,-160646.2766,49.16988925,-49.16988925
,-169637.2315,366.5787277,-366.5787277
,-169580.6226,-107.9463567,107.9463567
,-123512.5964,1682.82286,-1682.82286
,-139018.4868,495.7696389,-495.7696389
,-137557.5464,-1122.455291,1122.455291
,-173935.4654,-1031.985837,1031.985837
,-166260.649,-982.6143972,982.6143972
,-164878.3556,166.1938555,-166.1938555
,-165365.8323,173.332142,-173.332142
,-149810.3407,331.2244836,-331.2244836
,-98191.97826,-1830.352151,1830.352151
,-166953.1825,377.0190429,-377.0190429
,-135887.3636,424.1071469,-424.1071469
,-164099.2841,-1317.855393,1317.855393
,-163452.3554,1054.894646,-1054.894646
,-151470.4038,-137.1614911,137.1614911
,-145033.7485,1478.332634,-1478.332634
,-170404.2156,-1000.356276,1000.356276
,-143272.7207,36.17328138,-36.17328138
,-174052.0097,134.3557584,-134.3557584
,-169164.2175,87.7265823,-87.7265823
,-172442.2273,-877.1216939,877.1216939
,-163949.3844,-1254.756248,1254.756248
,-154976.6497,-1792.47746,1792.47746
,-148857.6953,229.8649441,-229.8649441
,-165853.9635,-1341.515185,1341.515185
,-146365.3689,20.90931597,-20.90931597
,-179355.2113,399.4053466,-399.4053466
,-178394.6824,208.1321777,-208.1321777
,-171170.1778,-389.2975166,389.2975166
,-174925.5554,-504.629819,504.629819
,-136567.2758,-1713.072517,1713.072517
,-152656.6547,1413.224944,-1413.224944
,-180050.8859,-161.7840014,161.7840014
,-173139.9973,-754.7429022,754.7429022
,-13286.90345,-3974.549913,3974.549913
,-161350.0475,-1097.10022,1097.10022
,-171426.0972,-360.8765775,360.8765775
,-163139.7991,685.908234,-685.908234
,-176990.0834,-168.9139128,168.9139128
,-143116.0597,240.2433946,-240.2433946
,-159588.6172,-1369.549193,1369.549193
,-164582.2859,-116.3764233,116.3764233
,-171929.6722,-881.8348463,881.8348463
,-182386.5771,-204.620145,204.620145
,-168616.284,-3.5866039,3.5866039
,-123602.6436,-363.7334272,363.7334272
,-112420.5635,2885.200291,-2885.200291
,-159874.5357,215.9872166,-215.9872166
,-170687.2763,-165.4035459,165.4035459
,-119890.2811,1966.748948,-1966.748948
,-126486.9091,-655.28242,655.28242
,-188650.6314,53.92915852,-53.92915852
,-137483.6613,-705.6548961,705.6548961
,-107599.9072,-174.2839316,174.2839316
,-158329.2238,-815.814274,815.814274
,-112828.2273,1135.642263,-1135.642263
,-174741.641,68.11905299,-68.11905299
,-163242.3232,248.0710064,-248.0710064
,-151576.1738,-139.8107696,139.8107696
,-141068.3216,-544.8557671,544.8557671
,-158270.0526,1081.365289,-1081.365289
,-153223.5485,-948.1765502,948.1765502
,-158471.0846,-1243.731107,1243.731107
,-166647.8557,-1218.315151,1218.315151
,-150660.3798,299.5517826,-299.5517826
,-141742.8074,519.9409314,-519.9409314
,-123653.0366,-1829.693868,1829.693868
,-164209.3947,688.1244506,-688.1244506
,-145090.1114,-1071.485068,1071.485068
,-172889.01,-112.6638931,112.6638931
,-128647.2115,1899.944437,-1899.944437
,-109842.7701,1426.947923,-1426.947923
,-178043.9551,-816.5623645,816.5623645
,-169239.0387,-804.8229163,804.8229163
,-186696.1799,-111.160435,111.160435
,-168010.6416,-908.7706404,908.7706404
,-163803.5178,127.4105443,-127.4105443
,-178516.9268,-991.6442995,991.6442995
,-183138.7259,-403.8145456,403.8145456
,-167345.0335,-588.0285031,588.0285031
,-147113.8787,114.1882758,-114.1882758
,-165502.2196,589.733136,-589.733136
,-186007.6382,-62.8935838,62.8935838
,-151067.5825,585.0056077,-585.0056077
,-179064.753,458.569195,-458.569195
,-172313.5787,-1181.421359,1181.421359
,-163495.5492,-1108.55068,1108.55068
,-179217.7085,548.2823901,-548.2823901
,-170639.245,-630.92295,630.92295
,-111689.0089,-1094.581077,1094.581077
,-132017.8775,-1189.753049,1189.753049
,-147018.7319,538.4204277,-538.4204277
,-184783.8692,-142.0417179,142.0417179
,-138953.2331,521.4442698,-521.4442698
,-149273.8242,8.043797297,-8.043797297
,-87449.22569,-507.9823112,507.9823112
,-184040.8891,-381.0747006,381.0747006
,-163273.2225,-274.3398896,274.3398896
,-177633.7944,-187.22346,187.22346
,-171567.3461,-803.3483473,803.3483473
,-151111.4064,-1069.960393,1069.960393
,-175790.6275,76.48511808,-76.48511808
,-166144.6936,-1182.84063,1182.84063
,-182786.3496,137.2198258,-137.2198258
,-183614.0462,777.5218067,-777.5218067
,-121119.3839,-1399.68357,1399.68357
,-155677.0477,-1151.33909,1151.33909
,-118127.068,1441.046093,-1441.046093
,-162807.6808,388.8537109,-388.8537109
,-147410.3438,-1198.066544,1198.066544
,-116966.045,-1112.445109,1112.445109
,-170942.566,593.1491866,-593.1491866
,-166654.2728,-1521.342162,1521.342162
,-168213.1943,-606.8461656,606.8461656
,-186263.0241,-308.2047321,308.2047321
,-143844.3425,301.2589566,-301.2589566
,-180268.566,777.1678307,-777.1678307
,-149303.0812,-1745.810619,1745.810619
,-165237.6275,-986.2744336,986.2744336
,-171540.6826,-1254.48763,1254.48763
,-129772.509,-1313.961668,1313.961668
,-162717.669,33.61107637,-33.61107637
,-179390.0994,-428.5799422,428.5799422
,-96059.03818,2187.256895,-2187.256895
,-164584.535,832.1336389,-832.1336389
,-131378.3881,302.3781852,-302.3781852
,-188133.3696,567.8497181,-567.8497181
,-168388.623,-1004.55024,1004.55024
,-164895.1882,-767.7660346,767.7660346
,-178990.4024,-545.096112,545.096112
,-169416.8221,717.0449193,-717.0449193
,-109826.9015,-2112.5225,2112.5225
,-143640.0432,1464.065451,-1464.065451
,-177597.5467,-739.5564047,739.5564047
,-191143.5516,754.6446429,-754.6446429
,-181171.1065,430.5909954,-430.5909954
,-125751.4417,-895.456642,895.456642
,-172785.2428,-1116.917856,1116.917856
,-162902.1555,-1428.426635,1428.426635
,-177518.0654,73.34357051,-73.34357051
,-194318.4709,115.0462151,-115.0462151
,-175033.5811,473.5807231,-473.5807231
,-184654.6649,-827.7489909,827.7489909
,-171590.9405,-839.226701,839.226701
,-168182.7647,-1365.241502,1365.241502
,-162419.6363,-57.28051453,57.28051453
,-169660.1335,-717.7699537,717.7699537
,-150060.9515,800.181612,-800.181612
,-156067.3502,-1106.163843,1106.163843
,-81918.54792,1267.236308,-1267.236308
,-181555.3826,550.9604528,-550.9604528
,-133296.8954,1130.984237,-1130.984237
,-159561.1276,-1071.238671,1071.238671
,-179758.0079,-1009.651471,1009.651471
,-173095.6019,-931.9275411,931.9275411
,-145174.0744,1296.118343,-1296.118343
,-184239.174,-80.24389608,80.24389608
,-168232.2351,-932.3895562,932.3895562
,-183132.1389,-763.3701602,763.3701602
,-170447.6389,496.303289,-496.303289
,-185604.7551,-560.4964747,560.4964747
,-184045.9292,-661.0206362,661.0206362
,-192297.1987,-99.67906849,99.67906849
,-164865.5674,210.0864505,-210.0864505
,-216393.4577,-385.2892028,385.2892028
,-164723.5565,232.3914615,-232.3914615
,-194293.0484,-330.5357359,330.5357359
,-181313.9924,-252.516677,252.516677
,-214292.8757,-251.4487756,251.4487756
,-192345.3606,-617.1224846,617.1224846
,-172297.6527,-1122.241956,1122.241956
,-206395.2736,-390.4054175,390.4054175
,-176487.4333,-1154.421602,1154.421602
,-171194.2272,-1239.238435,1239.238435
,-168613.1239,229.3183635,-229.3183635
,-130042.3889,-1307.762608,1307.762608
,-170079.0426,-136.3474993,136.3474993
,-197810.4349,126.2938555,-126.2938555
,-174575.3461,-535.6027993,535.6027993
,-207253.7799,43.28879011,-43.28879011
,-153767.5463,462.5059479,-462.5059479
,-194049.0005,-524.4424403,524.4424403
,-135541.2315,110.0657315,-110.0657315
,-177188.5274,-2.075447529,2.075447529
,-189969.5239,-707.8078829,707.8078829
,-141262.165,516.1100793,-516.1100793
,-173338.7288,-1108.554102,1108.554102
,-177981.6663,75.20024768,-75.20024768
,-154344.1717,891.7442758,-891.7442758
,-165779.5442,-30.14018421,30.14018421
,-199480.1586,113.8028774,-113.8028774
,-169575.8238,-17.5123823,17.5123823
,-122694.4276,1821.348201,-1821.348201
,-186595.809,807.0806394,-807.0806394
,-181895.275,749.604378,-749.604378
,-167272.3067,719.3089871,-719.3089871
,-188740.9647,211.520846,-211.520846
,-127418.8172,-723.743354,723.743354
,-72789.34329,308.8928489,-308.8928489
,-100714.4682,548.7582414,-548.7582414
,-156288.3986,220.4679591,-220.4679591
,-191322.4598,261.7617039,-261.7617039
,-168611.7264,-513.4832276,513.4832276
,-164194.0823,918.630255,-918.630255
,-199248.2048,147.4350314,-147.4350314
,-152096.8506,660.3608422,-660.3608422
,-160995.3087,356.5399135,-356.5399135
,-180904.1998,-187.8793855,187.8793855
,-177203.7702,-230.4364522,230.4364522
,-160462.6894,-1348.398328,1348.398328
,-187464.9235,117.0855776,-117.0855776
,-183670.7125,-190.6847809,190.6847809
,-115118.0015,1322.657527,-1322.657527
,-182843.2649,-70.89454843,70.89454843
,-188613.1731,-257.6103373,257.6103373
,-186160.1946,-554.5287707,554.5287707
,-182704.6389,-813.0127223,813.0127223
,-187026.4076,-530.1544902,530.1544902
,-190523.7429,-359.5521271,359.5521271
,-186184.1816,-65.33503371,65.33503371
,-165870.3217,-1243.379573,1243.379573
,-178288.9596,-80.81151789,80.81151789
,-182196.5011,260.5288759,-260.5288759
,-187257.6592,33.48351892,-33.48351892
,-185223.4665,-514.8782259,514.8782259
,-162048.0345,500.9753762,-500.9753762
,-145898.1818,761.4471037,-761.4471037
,-171596.6185,-898.4026121,898.4026121
,-184217.3236,75.29199905,-75.29199905
,-179561.0767,-857.7577774,857.7577774
,-170742.0073,-1284.043944,1284.043944
,-183887.6226,-420.1157607,420.1157607
,-172703.6842,-432.7054161,432.7054161
,-169464.7808,87.95649101,-87.95649101
,-154236.7874,-1791.635627,1791.635627
,-165055.1233,396.2418018,-396.2418018
,-167618.8208,-894.3074471,894.3074471
,-151688.2604,-1571.68433,1571.68433
,-160379.4892,-1729.493945,1729.493945
,-179365.6394,343.1194532,-343.1194532
,-174306.2634,577.919007,-577.919007
,-173780.4701,658.2085958,-658.2085958
,-176610.4203,-1020.989404,1020.989404
,-176577.8421,-392.5407077,392.5407077
,-179817.2533,-245.4657809,245.4657809
,-158318.2084,-345.3761096,345.3761096
,-137855.0711,-903.222248,903.222248
,-169309.061,-910.2675684,910.2675684
,-168352.5345,-203.239075,203.239075
,-172664.6425,-546.1088201,546.1088201
,-170373.8548,-1026.651597,1026.651597
,-181368.208,-498.7400377,498.7400377
,-159746.6695,-539.7042239,539.7042239
,-116860.9078,1350.590475,-1350.590475
,-169124.4713,269.545392,-269.545392
,-171019.033,-1094.616139,1094.616139
,-182792.3233,241.36421,-241.36421
,-138742.1562,-1703.60189,1703.60189
,-101317.9358,-2645.3223,2645.3223
,-171937.4247,112.4541599,-112.4541599
,-166467.5978,-415.682652,415.682652
,-179463.5971,-392.4961123,392.4961123
,-116377.5733,1373.659315,-1373.659315
,-171040.4386,421.4279627,-421.4279627
,-155590.3506,-1036.7011,1036.7011
,-170768.6111,460.400524,-460.400524
,-167429.5265,-1037.56809,1037.56809
,-175464.2188,234.5942485,-234.5942485
,-166951.0999,678.6603085,-678.6603085
,-161431.9954,547.0804487,-547.0804487
,-168163.7417,-1099.28577,1099.28577
,-167886.771,-954.0698818,954.0698818
,-151800.843,530.9692915,-530.9692915
,-149083.047,-1359.626096,1359.626096
,-177559.1149,-143.9284562,143.9284562
,-150971.7371,-185.0665397,185.0665397
,-155735.9718,-778.3198515,778.3198515
,-157475.8857,-384.651878,384.651878
,-165505.4191,-38.24726435,38.24726435
,-156143.7455,-1492.2597,1492.2597
,-153076.5348,259.3826081,-259.3826081
,-183047.4855,204.6196881,-204.6196881
,-169220.6197,303.3830997,-303.3830997
,-103842.9338,-1158.298939,1158.298939
,-155395.5259,-233.1672118,233.1672118
,-175270.3504,-180.5358869,180.5358869
,-135447.6955,906.5416299,-906.5416299
,-162216.4711,318.2657521,-318.2657521
