ecc_mean,zmax_mean(kpc)
0.038744917,7.897707329
0.792063674,9.650790081
0.749725297,10.19013705
0.250458418,0.417114932
0.380010858,9.792291994
0.848093557,4.320175462
0.968919649,5.546526055
0.84444275,3.060622742
0.702521079,1.282919327
0.838746827,8.423025208
0.426446899,3.248447165
0.531707,24.16057795
0.755971773,8.329599323
0.557759216,9.874472532
0.480813352,6.041834989
0.571149989,8.156058693
0.926428821,3.992501013
0.500652079,23.3277537
0.908328704,6.643111711
0.449589949,3.601999705
0.950302614,17.48448335
0.49201482,16.86608065
0.859840223,13.71534294
0.899362717,4.753486872
0.628071879,5.343779087
0.768116241,14.7643443
0.750847598,9.722188387
0.840010918,9.87775115
0.821774505,10.33985733
0.925550969,4.243355508
0.92557961,4.350973248
0.644260539,1.771179791
0.419088819,5.091821771
0.255370982,9.98850399
0.943354505,9.833158083
0.570485722,5.564254603
0.80165179,14.77469745
0.523376364,4.796900969
0.407278248,0.770284843
0.547062036,1.54576454
0.986814724,5.886704121
0.970829524,5.13288579
0.678762326,8.335599508
0.239888906,3.453127806
0.882044904,6.426753917
0.722045779,22.87686499
0.270016969,5.155521359
0.535049982,4.902322087
0.652717351,1.345301957
0.461015505,7.235418453
0.597001715,4.303291445
0.429626078,2.828509409
0.615764746,23.16897064
0.730304759,3.218553901
0.696682069,3.858266573
0.754379984,9.243006859
0.86801129,39.64764091
0.309336318,17.36530388
0.663409619,2.695326386
0.776506204,1.021242096
0.526587786,1.331620172
0.733386225,110.9003898
0.833842061,8.372024784
0.597954041,14.95548727
0.967860757,20.87884373
0.835071545,3.952009234
0.586168875,14.85472823
0.974615598,5.402898417
0.543131882,3.475157506
0.353811874,16.28225775
0.38690936,7.406471925
0.538315741,5.226896076
0.452828287,4.371940708
0.633069208,0.807112833
0.515378075,9.405612144
0.944219125,4.529161835
0.860010667,5.415156527
0.826137363,3.658061748
0.964007609,4.971508355
0.63922769,5.373631473
0.875888445,8.476721678
0.734731662,3.165225856
0.927258064,4.624941664
0.892417715,4.895013523
0.726744145,3.379272919
0.651345301,5.119406371
0.710401281,13.64163132
0.694061632,4.078669071
0.633521245,3.840652733
0.665920713,3.63286582
0.281343069,4.960028906
0.506257592,8.648658905
0.162115536,4.965280533
0.121185703,12.73952047
0.747203652,6.940585985
0.666765218,35.72785763
0.931892191,5.088749509
0.72661944,10.23635921
0.31039481,7.744561815
0.932720811,7.614136658
0.528952463,2.126203425
0.642144743,6.662592506
0.692646666,1.777981814
0.835680877,3.834017415
0.425687451,1.835663142
0.475621825,4.796855192
0.243683803,1.562023234
0.610266745,1.403463256
0.904864697,4.427174785
0.650974187,7.514998779
0.266017672,4.516852527
0.527159463,6.980453606
0.271774618,5.042990031
0.368961816,2.01079308
0.782683848,0.453322698
0.886084361,46.87266972
0.534724138,0.85403582
0.904092572,5.384203849
0.984644965,7.126430192
0.108172668,0.293475898
0.794969496,3.508823023
0.778008015,57.16340378
0.734451481,1.783429445
0.978153204,5.485018787
0.824161585,4.459648805
0.954311794,4.810326076
0.674301881,13.16541659
0.902287797,1.357625113
0.763107578,3.434878733
0.447320166,1.150606618
0.478519797,3.890917089
0.719436357,9.696578979
0.931060889,5.0130934
0.891533107,7.279348583
0.830714157,18.72073421
0.853880105,4.036402887
0.923820851,0.951730552
0.417832334,1.003627219
0.575711533,1.472986339
0.883882195,12.83298731
0.371634994,8.116020665
0.511897967,1.567546452
0.534740528,15.00904442
0.920438875,5.119864483
0.773897513,9.117922306
0.465558886,3.427948225
0.459406029,1.162077501
0.219802325,1.545989981
0.916547653,5.074664149
0.339824948,1.409736599
0.987853388,6.413598347
0.803188673,0.79854333
0.901509151,3.985672458
0.829565473,3.893348992
0.768068398,1.082131327
0.317943504,10.40558807
0.176339156,6.157485976
0.919909732,4.059249372
0.602480832,2.658287199
0.986909138,77.43801209
0.499383458,3.810920031
0.789953138,5.275805664
0.746621094,1.652713493
0.781572278,7.02864399
0.480188119,14.54482162
0.266646225,4.08583128
0.936493891,4.792869635
0.556340872,1.85377998
0.890330667,3.398095865
0.983167933,5.052556171
0.935782283,18.50698885
0.557524211,9.552878952
0.932967548,4.99605608
0.897747975,6.739625344
0.644633538,12.74166178
0.895232736,5.051683221
0.962896948,3.847343104
