# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Dra_000241	E.N.Kirby+,ApJ, 801, 125, 2015	-1.98	-0.39
SAGA_Dra_000241	E.N.Kirby+,ApJS, 191, 352, 2010	-1.66	
SAGA_Dra_000250	E.N.Kirby+,ApJ, 801, 125, 2015	-2.7	0.22
SAGA_Dra_000250	E.N.Kirby+,ApJS, 191, 352, 2010	-2.38	
SAGA_Dra_000253	E.N.Kirby+,ApJ, 801, 125, 2015	-2.2	-0.2
SAGA_Dra_000253	E.N.Kirby+,ApJS, 191, 352, 2010	-1.9	
SAGA_Dra_000254	E.N.Kirby+,ApJ, 801, 125, 2015	-1.41	-0.56
SAGA_Dra_000254	E.N.Kirby+,ApJS, 191, 352, 2010	-1.1	
SAGA_Dra_000257	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.93
SAGA_Dra_000257	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Dra_000258	E.N.Kirby+,ApJ, 801, 125, 2015	-2.84	0.37
SAGA_Dra_000258	E.N.Kirby+,ApJS, 191, 352, 2010	-2.55	
SAGA_Dra_000262	E.N.Kirby+,ApJ, 801, 125, 2015	-2.45	0.08
SAGA_Dra_000262	E.N.Kirby+,ApJS, 191, 352, 2010	-2.14	
SAGA_Dra_000262	G.E.Duggan+,ApJ, 869, 50, 2018	-2.15	
SAGA_Dra_000265	E.N.Kirby+,ApJ, 801, 125, 2015	-2.17	0.15
SAGA_Dra_000265	E.N.Kirby+,ApJS, 191, 352, 2010	-1.89	
SAGA_Dra_000268	E.N.Kirby+,ApJ, 801, 125, 2015	-1.65	0.59
SAGA_Dra_000268	E.N.Kirby+,ApJS, 191, 352, 2010	-1.35	
SAGA_Dra_000269	E.N.Kirby+,ApJ, 801, 125, 2015	-2.6	0.5
SAGA_Dra_000269	E.N.Kirby+,ApJS, 191, 352, 2010	-2.28	
SAGA_Dra_000290	E.N.Kirby+,ApJ, 801, 125, 2015	-2.11	-0.27
SAGA_Dra_000290	E.N.Kirby+,ApJS, 191, 352, 2010	-1.81	
SAGA_Dra_000303	M.D.Shetrone+,AJ, 145, 123, 2013	-1.9	-0.28
SAGA_Dra_000304	M.D.Shetrone+,AJ, 145, 123, 2013	-1.9	-1.08
SAGA_Dra_000306	M.D.Shetrone+,AJ, 145, 123, 2013	-2	-0.81
SAGA_Dra_000307	M.D.Shetrone+,AJ, 145, 123, 2013	-2.05	-0.61
SAGA_Dra_000308	M.D.Shetrone+,AJ, 145, 123, 2013	-2.63	-0.56
SAGA_Dra_000309	M.D.Shetrone+,AJ, 145, 123, 2013	-2	-1.03
SAGA_Dra_000310	M.D.Shetrone+,AJ, 145, 123, 2013	-2.3	-0.83
SAGA_Dra_000311	M.D.Shetrone+,AJ, 145, 123, 2013	-2.2	-0.75
SAGA_Dra_000312	M.D.Shetrone+,AJ, 145, 123, 2013	-1.65	-0.71
SAGA_Dra_000313	M.D.Shetrone+,AJ, 145, 123, 2013	-2.8	0.72
SAGA_Dra_000314	M.D.Shetrone+,AJ, 145, 123, 2013	-2.5	-0.91
SAGA_Dra_000315	M.D.Shetrone+,AJ, 145, 123, 2013	-2.15	-0.86
SAGA_Dra_000316	M.D.Shetrone+,AJ, 145, 123, 2013	-1.92	-0.51
SAGA_Dra_000317	M.D.Shetrone+,AJ, 145, 123, 2013	-2.04	-0.73
SAGA_Dra_000318	M.D.Shetrone+,AJ, 145, 123, 2013	-1.95	-0.55
SAGA_Dra_000319	M.D.Shetrone+,AJ, 145, 123, 2013	-2.15	-0.43
SAGA_Dra_000320	M.D.Shetrone+,AJ, 145, 123, 2013	-1.87	-0.98
SAGA_Dra_000321	M.D.Shetrone+,AJ, 145, 123, 2013	-1.71	-1.08
SAGA_Dra_000322	M.D.Shetrone+,AJ, 145, 123, 2013	-2.2	-0.26
SAGA_Dra_000323	E.N.Kirby+,ApJ, 801, 125, 2015	-2.27	-0.75
SAGA_Dra_000323	M.D.Shetrone+,AJ, 145, 123, 2013	-1.85	-0.66
SAGA_Dra_000323	G.E.Duggan+,ApJ, 869, 50, 2018	-1.82	
SAGA_Dra_000324	M.D.Shetrone+,AJ, 145, 123, 2013	-2	-0.56
SAGA_Dra_000325	E.N.Kirby+,ApJ, 801, 125, 2015	-2.33	-0.59
SAGA_Dra_000325	M.D.Shetrone+,AJ, 145, 123, 2013	-1.58	-0.66
SAGA_Dra_000325	G.E.Duggan+,ApJ, 869, 50, 2018	-1.87	
SAGA_Dra_000326	M.D.Shetrone+,AJ, 145, 123, 2013	-1.94	-0.56
SAGA_Dra_000327	M.D.Shetrone+,AJ, 145, 123, 2013	-2	-0.83
SAGA_Dra_000334	E.N.Kirby+,ApJ, 801, 125, 2015	-2.16	-0.82
SAGA_Dra_000336	E.N.Kirby+,ApJ, 801, 125, 2015	-2.41	0.59
SAGA_Dra_000340	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	-0.45
SAGA_Dra_000343	E.N.Kirby+,ApJ, 801, 125, 2015	-2.47	0.14
SAGA_Dra_000346	E.N.Kirby+,ApJ, 801, 125, 2015	-1.25	-0.59
SAGA_For_000003	M.Shetrone+,AJ, 125, 684, 2003	-0.67	
SAGA_For_000003	E.N.Kirby+,ApJ, 801, 125, 2015	-0.62	-0.63
SAGA_For_000003	B.Letarte+,AAP, 523, A17, 2010	-0.73	
SAGA_For_000003	E.N.Kirby+,ApJS, 191, 352, 2010	-0.35	
SAGA_For_000003	G.E.Duggan+,ApJ, 869, 50, 2018	-0.62	
SAGA_For_000025	F.Pont+,AJ, 127, 840, 2004	-0.7	
SAGA_For_000025	E.N.Kirby+,ApJ, 801, 125, 2015	-1.01	0.35
SAGA_For_000025	G.Battaglia+,MNRAS, 383, 183, 2008	-0.91	
SAGA_For_000025	B.Letarte+,AAP, 523, A17, 2010	-0.97	
SAGA_For_000025	G.Battaglia+, AAP, 459, 423, 2006	-0.89	
SAGA_For_000025	E.N.Kirby+,ApJS, 191, 352, 2010	-0.79	
SAGA_For_000025	G.E.Duggan+,ApJ, 869, 50, 2018	-1.01	
SAGA_For_000032	F.Pont+,AJ, 127, 840, 2004	-1.31	
SAGA_For_000032	E.N.Kirby+,ApJ, 801, 125, 2015	-1.4	-1.1
SAGA_For_000032	E.N.Kirby+,ApJS, 191, 352, 2010	-1.19	
SAGA_For_000032	G.E.Duggan+,ApJ, 869, 50, 2018	-1.4	
SAGA_For_000057	F.Pont+,AJ, 127, 840, 2004	-0.5	
SAGA_For_000057	E.N.Kirby+,ApJ, 801, 125, 2015	-0.77	-0.68
SAGA_For_000057	E.N.Kirby+,ApJS, 191, 352, 2010	-0.54	
SAGA_For_000659	M.Tafelmeyer+,AAP, 524, A58, 2010	-3.66	-0.71
SAGA_For_000659	G.Battaglia+, AAP, 459, 423, 2006	-2.61	
SAGA_For_000805	E.N.Kirby+,ApJ, 801, 125, 2015	-1.17	-0.72
SAGA_For_000805	E.N.Kirby+,ApJS, 191, 352, 2010	-0.92	
SAGA_For_000805	G.E.Duggan+,ApJ, 869, 50, 2018	-1.17	
SAGA_For_000810	E.N.Kirby+,ApJ, 801, 125, 2015	-1.3	0.4
SAGA_For_000810	E.N.Kirby+,ApJS, 191, 352, 2010	-1.11	
SAGA_For_000811	E.N.Kirby+,ApJ, 801, 125, 2015	-1.12	-0.77
SAGA_For_000811	E.N.Kirby+,ApJS, 191, 352, 2010	-0.87	
SAGA_For_000841	E.N.Kirby+,ApJ, 801, 125, 2015	-1.08	-0.53
SAGA_For_000841	E.N.Kirby+,ApJS, 191, 352, 2010	-0.87	
SAGA_For_000842	E.N.Kirby+,ApJ, 801, 125, 2015	-0.92	-0.95
SAGA_For_000842	E.N.Kirby+,ApJS, 191, 352, 2010	-0.74	
SAGA_For_000842	G.E.Duggan+,ApJ, 869, 50, 2018	-0.91	
SAGA_For_000846	E.N.Kirby+,ApJ, 801, 125, 2015	-0.89	-1.06
SAGA_For_000846	E.N.Kirby+,ApJS, 191, 352, 2010	-0.62	
SAGA_For_000846	G.E.Duggan+,ApJ, 869, 50, 2018	-0.89	
SAGA_For_000850	E.N.Kirby+,ApJ, 801, 125, 2015	-0.79	-0.66
SAGA_For_000850	E.N.Kirby+,ApJS, 191, 352, 2010	-0.55	
SAGA_For_000858	E.N.Kirby+,ApJ, 801, 125, 2015	-0.77	-0.19
SAGA_For_000858	E.N.Kirby+,ApJ, 752, L16, 2012	-0.68	
SAGA_For_000858	E.N.Kirby+,ApJS, 191, 352, 2010	-0.51	
SAGA_For_000858	G.E.Duggan+,ApJ, 869, 50, 2018	-0.76	
SAGA_For_000927	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.51
SAGA_For_000927	E.N.Kirby+,ApJS, 191, 352, 2010	-0.86	
SAGA_For_000927	G.E.Duggan+,ApJ, 869, 50, 2018	-1.08	
SAGA_For_000933	E.N.Kirby+,ApJ, 801, 125, 2015	-1.14	-0.56
SAGA_For_000933	E.N.Kirby+,ApJS, 191, 352, 2010	-0.89	
SAGA_For_000933	G.E.Duggan+,ApJ, 869, 50, 2018	-1.13	
SAGA_For_000955	E.N.Kirby+,ApJ, 801, 125, 2015	-0.83	-0.75
SAGA_For_000955	E.N.Kirby+,ApJS, 191, 352, 2010	-0.55	
SAGA_For_000978	E.N.Kirby+,ApJ, 801, 125, 2015	-0.7	0.4
SAGA_For_000978	E.N.Kirby+,ApJS, 191, 352, 2010	-0.4	
SAGA_For_001007	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.63
SAGA_For_001007	E.N.Kirby+,ApJS, 191, 352, 2010	-0.84	
SAGA_For_001007	G.E.Duggan+,ApJ, 869, 50, 2018	-1.09	
SAGA_For_001040	E.N.Kirby+,ApJ, 801, 125, 2015	-0.7	-0.88
SAGA_For_001040	B.Letarte+,AAP, 523, A17, 2010		
SAGA_For_001040	E.N.Kirby+,ApJS, 191, 352, 2010	-0.38	
SAGA_For_001040	G.E.Duggan+,ApJ, 869, 50, 2018	-0.7	
SAGA_For_001043	E.N.Kirby+,ApJ, 801, 125, 2015	-1.71	-1.03
SAGA_For_001043	B.Letarte+,AAP, 523, A17, 2010	-1.44	
SAGA_For_001043	E.N.Kirby+,ApJS, 191, 352, 2010	-1.53	
SAGA_For_001043	G.E.Duggan+,ApJ, 869, 50, 2018	-1.7	
SAGA_For_001045	E.N.Kirby+,ApJ, 801, 125, 2015	-0.76	-0.59
SAGA_For_001045	E.N.Kirby+,ApJS, 191, 352, 2010	-0.47	
SAGA_For_001050	E.N.Kirby+,ApJ, 801, 125, 2015	-1.03	0.38
SAGA_For_001050	B.Letarte+,AAP, 523, A17, 2010	-0.87	
SAGA_For_001050	E.N.Kirby+,ApJS, 191, 352, 2010	-0.8	
SAGA_For_001050	G.E.Duggan+,ApJ, 869, 50, 2018	-1.03	
SAGA_For_001053	E.N.Kirby+,ApJ, 801, 125, 2015	-1.14	-0.78
SAGA_For_001053	E.N.Kirby+,ApJS, 191, 352, 2010	-0.87	
SAGA_For_001053	G.E.Duggan+,ApJ, 869, 50, 2018	-1.13	
SAGA_For_001055	E.N.Kirby+,ApJ, 801, 125, 2015	-2.21	-0.56
SAGA_For_001055	E.N.Kirby+,ApJS, 191, 352, 2010	-2.04	
SAGA_For_001068	E.N.Kirby+,ApJ, 801, 125, 2015	-1.13	-0.9
SAGA_For_001068	E.N.Kirby+,ApJS, 191, 352, 2010	-0.88	
SAGA_For_001068	G.E.Duggan+,ApJ, 869, 50, 2018	-1.12	
SAGA_For_001074	E.N.Kirby+,ApJ, 801, 125, 2015	-1.66	-0.75
SAGA_For_001074	E.N.Kirby+,ApJS, 191, 352, 2010	-1.45	
SAGA_For_001074	G.E.Duggan+,ApJ, 869, 50, 2018	-1.65	
SAGA_For_001078	E.N.Kirby+,ApJ, 801, 125, 2015	-1.05	0.3
SAGA_For_001078	E.N.Kirby+,ApJS, 191, 352, 2010	-0.78	
SAGA_For_001078	G.E.Duggan+,ApJ, 869, 50, 2018	-1.04	
SAGA_For_001091	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.74
SAGA_For_001091	B.Letarte+,AAP, 523, A17, 2010		
SAGA_For_001091	E.N.Kirby+,ApJS, 191, 352, 2010	-0.9	
SAGA_For_001091	G.E.Duggan+,ApJ, 869, 50, 2018	-1.09	
SAGA_For_001099	E.N.Kirby+,ApJ, 801, 125, 2015	-1.19	-0.68
SAGA_For_001099	E.N.Kirby+,ApJS, 191, 352, 2010	-0.98	
SAGA_For_001115	E.N.Kirby+,ApJ, 801, 125, 2015	-1.06	-0.69
SAGA_For_001115	E.N.Kirby+,ApJS, 191, 352, 2010	-0.83	
SAGA_For_001115	G.E.Duggan+,ApJ, 869, 50, 2018	-1.05	
SAGA_For_001122	E.N.Kirby+,ApJ, 801, 125, 2015	-1.17	-0.97
SAGA_For_001122	E.N.Kirby+,ApJS, 191, 352, 2010	-0.93	
SAGA_For_001142	E.N.Kirby+,ApJ, 801, 125, 2015	-0.82	-0.95
SAGA_For_001142	E.N.Kirby+,ApJ, 752, L16, 2012	-0.73	
SAGA_For_001142	E.N.Kirby+,ApJS, 191, 352, 2010	-0.56	
SAGA_For_001142	G.E.Duggan+,ApJ, 869, 50, 2018	-0.81	
SAGA_For_001173	E.N.Kirby+,ApJ, 801, 125, 2015	-0.9	-0.9
SAGA_For_001173	B.Letarte+,AAP, 523, A17, 2010	-0.76	
SAGA_For_001173	E.N.Kirby+,ApJS, 191, 352, 2010	-0.62	
SAGA_For_001173	G.E.Duggan+,ApJ, 869, 50, 2018	-0.89	
SAGA_For_001184	E.N.Kirby+,ApJ, 801, 125, 2015	-1.2	-0.53
SAGA_For_001184	E.N.Kirby+,ApJS, 191, 352, 2010	-0.98	
SAGA_For_001186	E.N.Kirby+,ApJ, 801, 125, 2015	-1.12	-0.56
SAGA_For_001186	B.Letarte+,AAP, 523, A17, 2010	-0.83	
SAGA_For_001186	E.N.Kirby+,ApJS, 191, 352, 2010	-0.88	
SAGA_For_001218	E.N.Kirby+,ApJ, 801, 125, 2015	-1.11	-0.87
SAGA_For_001218	E.N.Kirby+,ApJS, 191, 352, 2010	-0.84	
SAGA_For_001227	E.N.Kirby+,ApJ, 801, 125, 2015	-1.22	-0.77
SAGA_For_001227	E.N.Kirby+,ApJS, 191, 352, 2010	-1.01	
SAGA_For_001259	E.N.Kirby+,ApJ, 801, 125, 2015	-0.79	-1.01
SAGA_For_001259	E.N.Kirby+,ApJS, 191, 352, 2010	-0.54	
SAGA_For_001280	E.N.Kirby+,ApJ, 801, 125, 2015	-1.14	-0.8
SAGA_For_001280	E.N.Kirby+,ApJS, 191, 352, 2010	-0.88	
SAGA_For_001280	G.E.Duggan+,ApJ, 869, 50, 2018	-1.14	
SAGA_For_001294	E.N.Kirby+,ApJ, 801, 125, 2015	-0.96	0.14
SAGA_For_001294	E.N.Kirby+,ApJS, 191, 352, 2010	-0.71	
SAGA_For_001301	E.N.Kirby+,ApJ, 801, 125, 2015	-1.02	-0.78
SAGA_For_001301	E.N.Kirby+,ApJS, 191, 352, 2010	-0.79	
SAGA_For_001316	E.N.Kirby+,ApJ, 801, 125, 2015	-0.83	-0.61
SAGA_For_001316	E.N.Kirby+,ApJS, 191, 352, 2010	-0.6	
SAGA_For_001317	E.N.Kirby+,ApJ, 801, 125, 2015	-1.07	-0.38
SAGA_For_001317	E.N.Kirby+,ApJS, 191, 352, 2010	-0.88	
SAGA_For_001322	E.N.Kirby+,ApJ, 801, 125, 2015	-1.24	-0.92
SAGA_For_001322	E.N.Kirby+,ApJS, 191, 352, 2010	-0.99	
SAGA_For_001331	E.N.Kirby+,ApJ, 801, 125, 2015	-0.96	0.02
SAGA_For_001331	E.N.Kirby+,ApJS, 191, 352, 2010	-0.74	
SAGA_For_001341	E.N.Kirby+,ApJ, 801, 125, 2015	-0.92	-0.55
SAGA_For_001341	E.N.Kirby+,ApJS, 191, 352, 2010	-0.71	
SAGA_For_001341	G.E.Duggan+,ApJ, 869, 50, 2018	-0.91	
SAGA_Scl_000001	M.Shetrone+,AJ, 125, 684, 2003	-1.98	
SAGA_Scl_000001	E.N.Kirby+,ApJ, 705, 328, 2009	-1.95	
SAGA_Scl_000001	A.Skuladottir+,AAP, 606, A71, 2017	-1.61	
SAGA_Scl_000001	E.N.Kirby+,ApJ, 801, 125, 2015	-2.14	-0.13
SAGA_Scl_000001	A.Skuladottir+,AAP, 580, A129, 2015	-1.61	
SAGA_Scl_000001	E.N.Kirby+,ApJS, 191, 352, 2010	-2.01	
SAGA_Scl_000001	G.E.Duggan+,ApJ, 869, 50, 2018	-2.13	
SAGA_Scl_000006	D.Geisler+,AJ, 129, 1428, 2005	-2.1	
SAGA_Scl_000006	E.N.Kirby+,ApJ, 705, 328, 2009	-2.03	
SAGA_Scl_000006	A.Skuladottir+,AAP, 606, A71, 2017	-2.18	
SAGA_Scl_000006	E.N.Kirby+,ApJ, 801, 125, 2015	-2.17	-0.92
SAGA_Scl_000006	G.Battaglia+,MNRAS, 383, 183, 2008	-2.16	
SAGA_Scl_000006	A.Skuladottir+,AAP, 580, A129, 2015	-2.18	
SAGA_Scl_000006	E.N.Kirby+,ApJS, 191, 352, 2010	-2	
SAGA_Scl_000006	G.E.Duggan+,ApJ, 869, 50, 2018	-2.15	
SAGA_Scl_000018	A.Skuladottir+,AAP, 606, A71, 2017	-1.86	
SAGA_Scl_000018	G.Battaglia+,MNRAS, 383, 183, 2008	-1.84	
SAGA_Scl_000018	A.Skuladottir+,AAP, 580, A129, 2015	-1.86	
SAGA_Scl_000018	C.Lardo+,AAP, 585, A70, 2016	-1.73	-1.06
SAGA_Scl_000019	E.N.Kirby+,ApJ, 705, 328, 2009	-1.65	
SAGA_Scl_000019	A.Skuladottir+,AAP, 606, A71, 2017	-1.7	
SAGA_Scl_000019	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	-0.86
SAGA_Scl_000019	G.Battaglia+,MNRAS, 383, 183, 2008	-1.68	
SAGA_Scl_000019	A.Skuladottir+,AAP, 580, A129, 2015	-1.7	
SAGA_Scl_000019	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Scl_000019	G.E.Duggan+,ApJ, 869, 50, 2018	-1.7	
SAGA_Scl_000020	E.N.Kirby+,ApJ, 705, 328, 2009	-1.01	
SAGA_Scl_000020	A.Skuladottir+,AAP, 606, A71, 2017	-1.07	
SAGA_Scl_000020	E.N.Kirby+,ApJ, 801, 125, 2015	-1.11	-0.67
SAGA_Scl_000020	G.Battaglia+,MNRAS, 383, 183, 2008	-1.05	
SAGA_Scl_000020	A.Skuladottir+,AAP, 580, A129, 2015	-1.07	
SAGA_Scl_000020	E.N.Kirby+,ApJS, 191, 352, 2010	-0.92	
SAGA_Scl_000020	G.E.Duggan+,ApJ, 869, 50, 2018	-1.1	
SAGA_Scl_000023	G.Battaglia+,MNRAS, 383, 183, 2008	-2.39	
SAGA_Scl_000023	A.Chiti+,ApJ, 856, 142, 2018	-3.05	0.3
SAGA_Scl_000024	E.N.Kirby+,ApJ, 705, 328, 2009	-1.83	
SAGA_Scl_000024	A.Skuladottir+,AAP, 606, A71, 2017	-1.74	
SAGA_Scl_000024	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.68
SAGA_Scl_000024	G.Battaglia+,MNRAS, 383, 183, 2008	-1.72	
SAGA_Scl_000024	A.Skuladottir+,AAP, 580, A129, 2015	-1.74	
SAGA_Scl_000024	E.N.Kirby+,ApJS, 191, 352, 2010	-1.98	
SAGA_Scl_000024	G.E.Duggan+,ApJ, 869, 50, 2018	-2.02	
SAGA_Scl_000026	G.Battaglia+,MNRAS, 383, 183, 2008	-1.89	
SAGA_Scl_000026	A.Skuladottir+,AAP, 580, A129, 2015	-2.03	
SAGA_Scl_000026	A.Skuladottir+,AAP, 574, A129, 2015	-2.03	0.6
SAGA_Scl_000028	E.N.Kirby+,ApJ, 705, 328, 2009	-2.16	
SAGA_Scl_000028	A.Skuladottir+,AAP, 606, A71, 2017	-2.04	
SAGA_Scl_000028	G.Battaglia+,MNRAS, 383, 183, 2008	-2.02	
SAGA_Scl_000028	A.Skuladottir+,AAP, 580, A129, 2015	-2.04	
SAGA_Scl_000028	A.Chiti+,ApJ, 856, 142, 2018	-2.54	0.17
SAGA_Scl_000028	E.N.Kirby+,ApJS, 191, 352, 2010	-2.23	
SAGA_Scl_000029	E.N.Kirby+,ApJ, 705, 328, 2009	-1.45	
SAGA_Scl_000029	A.Skuladottir+,AAP, 606, A71, 2017	-1.5	
SAGA_Scl_000029	E.N.Kirby+,ApJ, 801, 125, 2015	-1.57	-0.62
SAGA_Scl_000029	G.Battaglia+,MNRAS, 383, 183, 2008	-1.48	
SAGA_Scl_000029	A.Skuladottir+,AAP, 580, A129, 2015	-1.5	
SAGA_Scl_000029	E.N.Kirby+,ApJS, 191, 352, 2010	-1.41	
SAGA_Scl_000029	G.E.Duggan+,ApJ, 869, 50, 2018	-1.55	
SAGA_Scl_000030	E.N.Kirby+,ApJ, 705, 328, 2009	-1.12	
SAGA_Scl_000030	A.Skuladottir+,AAP, 606, A71, 2017	-1.07	
SAGA_Scl_000030	E.N.Kirby+,ApJ, 801, 125, 2015	-1.25	-0.94
SAGA_Scl_000030	G.Battaglia+,MNRAS, 383, 183, 2008	-1.05	
SAGA_Scl_000030	A.Skuladottir+,AAP, 580, A129, 2015	-1.07	
SAGA_Scl_000030	E.N.Kirby+,ApJS, 191, 352, 2010	-1.08	
SAGA_Scl_000030	G.E.Duggan+,ApJ, 869, 50, 2018	-1.24	
SAGA_Scl_000031	E.N.Kirby+,ApJ, 705, 328, 2009	-1.96	
SAGA_Scl_000031	A.Skuladottir+,AAP, 606, A71, 2017	-1.8	
SAGA_Scl_000031	E.N.Kirby+,ApJ, 801, 125, 2015	-1.89	-0.59
SAGA_Scl_000031	G.Battaglia+,MNRAS, 383, 183, 2008	-1.78	
SAGA_Scl_000031	A.Skuladottir+,AAP, 580, A129, 2015	-1.8	
SAGA_Scl_000031	E.N.Kirby+,ApJS, 191, 352, 2010	-1.81	
SAGA_Scl_000031	G.E.Duggan+,ApJ, 869, 50, 2018	-1.88	
SAGA_Scl_000032	A.Skuladottir+,AAP, 606, A71, 2017	-1.47	
SAGA_Scl_000032	G.Battaglia+,MNRAS, 383, 183, 2008	-1.45	
SAGA_Scl_000032	A.Skuladottir+,AAP, 580, A129, 2015	-1.47	
SAGA_Scl_000032	C.Lardo+,AAP, 585, A70, 2016	-1.49	-0.85
SAGA_Scl_000034	E.N.Kirby+,ApJ, 705, 328, 2009	-1.81	
SAGA_Scl_000034	A.Skuladottir+,AAP, 606, A71, 2017	-1.89	
SAGA_Scl_000034	G.Battaglia+,MNRAS, 383, 183, 2008	-1.87	
SAGA_Scl_000034	A.Skuladottir+,AAP, 580, A129, 2015	-1.89	
SAGA_Scl_000034	E.N.Kirby+,ApJS, 191, 352, 2010	-1.83	
SAGA_Scl_000034	C.Lardo+,AAP, 585, A70, 2016	-1.84	-0.68
SAGA_Scl_000035	A.Skuladottir+,AAP, 606, A71, 2017	-2.35	
SAGA_Scl_000035	G.Battaglia+,MNRAS, 383, 183, 2008	-2.33	
SAGA_Scl_000035	A.Skuladottir+,AAP, 580, A129, 2015	-2.35	
SAGA_Scl_000035	A.Chiti+,ApJ, 856, 142, 2018	-2.78	0.22
SAGA_Scl_000036	A.Skuladottir+,AAP, 606, A71, 2017	-1.46	
SAGA_Scl_000036	G.Battaglia+,MNRAS, 383, 183, 2008	-1.44	
SAGA_Scl_000036	A.Skuladottir+,AAP, 580, A129, 2015	-1.46	
SAGA_Scl_000036	C.Lardo+,AAP, 585, A70, 2016	-1.62	-0.94
SAGA_Scl_000037	E.N.Kirby+,ApJ, 705, 328, 2009	-0.97	
SAGA_Scl_000037	A.Skuladottir+,AAP, 606, A71, 2017	-1.08	
SAGA_Scl_000037	E.N.Kirby+,ApJ, 801, 125, 2015	-1.06	-0.82
SAGA_Scl_000037	G.Battaglia+,MNRAS, 383, 183, 2008	-1.07	
SAGA_Scl_000037	A.Skuladottir+,AAP, 580, A129, 2015	-1.08	
SAGA_Scl_000037	E.N.Kirby+,ApJS, 191, 352, 2010	-0.85	
SAGA_Scl_000037	G.E.Duggan+,ApJ, 869, 50, 2018	-1.05	
SAGA_Scl_000038	E.N.Kirby+,ApJ, 705, 328, 2009	-2.01	
SAGA_Scl_000038	A.Skuladottir+,AAP, 606, A71, 2017	-1.86	
SAGA_Scl_000038	G.Battaglia+,MNRAS, 383, 183, 2008	-1.84	
SAGA_Scl_000038	A.Skuladottir+,AAP, 580, A129, 2015	-1.86	
SAGA_Scl_000038	G.E.Duggan+,ApJ, 869, 50, 2018	-2.15	
SAGA_Scl_000038	E.N.Kirby+,ApJ, 801, 125, 2015	-2.17	-0.93
SAGA_Scl_000038	E.N.Kirby+,ApJS, 191, 352, 2010	-1.97	
SAGA_Scl_000038	C.Lardo+,AAP, 585, A70, 2016	-2.01	-0.75
SAGA_Scl_000039	E.N.Kirby+,ApJ, 705, 328, 2009	-1.47	
SAGA_Scl_000039	A.Skuladottir+,AAP, 606, A71, 2017	-1.41	
SAGA_Scl_000039	G.Battaglia+,MNRAS, 383, 183, 2008	-1.39	
SAGA_Scl_000039	A.Skuladottir+,AAP, 580, A129, 2015	-1.41	
SAGA_Scl_000039	E.N.Kirby+,ApJS, 191, 352, 2010	-1.27	
SAGA_Scl_000039	C.Lardo+,AAP, 585, A70, 2016	-1.35	-1.13
SAGA_Scl_000042	G.Battaglia+,MNRAS, 383, 183, 2008	-2.06	
SAGA_Scl_000042	A.Chiti+,ApJ, 856, 142, 2018	-2.73	-0.12
SAGA_Scl_000042	E.N.Kirby+,ApJS, 191, 352, 2010	-2.45	
SAGA_Scl_000043	E.N.Kirby+,ApJ, 705, 328, 2009	-2.21	
SAGA_Scl_000043	A.Skuladottir+,AAP, 606, A71, 2017	-1.96	
SAGA_Scl_000043	E.N.Kirby+,ApJ, 801, 125, 2015	-2.43	-0.75
SAGA_Scl_000043	G.Battaglia+,MNRAS, 383, 183, 2008	-1.94	
SAGA_Scl_000043	A.Skuladottir+,AAP, 580, A129, 2015	-1.96	
SAGA_Scl_000043	E.N.Kirby+,ApJS, 191, 352, 2010	-2.26	
SAGA_Scl_000043	G.E.Duggan+,ApJ, 869, 50, 2018	-2.41	
SAGA_Scl_000045	E.N.Kirby+,ApJ, 705, 328, 2009	-1.74	
SAGA_Scl_000045	A.Skuladottir+,AAP, 606, A71, 2017	-1.71	
SAGA_Scl_000045	E.N.Kirby+,ApJ, 801, 125, 2015	-1.84	-0.98
SAGA_Scl_000045	G.Battaglia+,MNRAS, 383, 183, 2008	-1.69	
SAGA_Scl_000045	A.Skuladottir+,AAP, 580, A129, 2015	-1.71	
SAGA_Scl_000045	A.Chiti+,ApJ, 856, 142, 2018	-1.92	-0.75
SAGA_Scl_000045	E.N.Kirby+,ApJS, 191, 352, 2010	-1.68	
SAGA_Scl_000045	G.E.Duggan+,ApJ, 869, 50, 2018	-1.83	
SAGA_Scl_000046	E.N.Kirby+,ApJ, 705, 328, 2009	-1.17	
SAGA_Scl_000046	A.Skuladottir+,AAP, 606, A71, 2017	-1.32	
SAGA_Scl_000046	E.N.Kirby+,ApJ, 801, 125, 2015	-1.31	-0.68
SAGA_Scl_000046	G.Battaglia+,MNRAS, 383, 183, 2008	-1.31	
SAGA_Scl_000046	A.Skuladottir+,AAP, 580, A129, 2015	-1.32	
SAGA_Scl_000046	E.N.Kirby+,ApJS, 191, 352, 2010	-1.11	
SAGA_Scl_000046	G.E.Duggan+,ApJ, 869, 50, 2018	-1.3	
SAGA_Scl_000049	E.N.Kirby+,ApJ, 705, 328, 2009	-1.23	
