[Fe/H],[Eu/Fe],[Mg/Fe],
-1.86,0.5,0.04,0.46
-1.72,0.54,0.05,0.49
-1.94,0.88,0.17,0.71
-2.39,1.09,0.18,0.91
-1.54,0.23,-0.01,0.24
-1.78,0.43,-0.01,0.44
