# Object,[Fe/H],[Na/Fe]
SAGA_Car_000930,-1.43,-0.2
SAGA_Car_000930,-1.37,
SAGA_Car_001198,-1.39,-0.23
SAGA_Car_001198,-1.53,0.15
SAGA_Car_001198,-1.28,-0.23
SAGA_Car_001200,-1.3,
SAGA_Car_001200,-1.52,-0.39
SAGA_Car_001200,-1.56,-0.38
SAGA_Car_001200,-1.29,-0.69
SAGA_Car_001201,-1.5,0.45
SAGA_Car_001206,-1.62,
SAGA_Car_001206,-1.18,
SAGA_Car_001206,-1.3,-0.29
SAGA_Car_001208,-1.8,0.31
SAGA_Car_001208,-1.43,
SAGA_Car_001208,-1.26,-0.19
SAGA_Car_001209,-2.15,-1.18
SAGA_Car_001209,-2.52,
SAGA_Car_001209,-2.5,
SAGA_Car_001221,-2.65,
SAGA_Car_001221,-2.32,
SAGA_Car_001221,-2.03,0.19
SAGA_Car_001225,-1.85,
SAGA_Car_001225,-1.6,0.25
SAGA_Car_001226,-2.03,
SAGA_Car_001226,-1.27,-0.5
SAGA_Car_001228,-1.88,
SAGA_Car_001228,-1.48,-0.13
SAGA_Car_001229,-1.74,
SAGA_Car_001229,-1.48,-0.21
SAGA_Dra_000001,-2.93,0.43
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.91,
SAGA_Dra_000001,-2.97,0
SAGA_Dra_000001,-2.97,0
SAGA_Dra_000001,-2.78,
SAGA_Dra_000001,-3,
SAGA_Dra_000002,-1.44,0.05
SAGA_Dra_000002,-1.44,0.05
SAGA_Dra_000003,-2.55,
SAGA_Dra_000003,-2.47,
SAGA_Dra_000003,-2.36,-0.24
SAGA_Dra_000003,-2.36,-0.24
SAGA_Dra_000003,-2.39,
SAGA_Dra_000004,-1.77,
SAGA_Dra_000004,-2.05,
SAGA_Dra_000004,-1.67,-0.5
SAGA_Dra_000004,-1.67,-0.5
SAGA_Dra_000004,-1.55,
SAGA_Dra_000004,-1.74,
SAGA_Dra_000005,-2.05,
SAGA_Dra_000005,-1.86,-0.06
SAGA_Dra_000005,-1.78,
SAGA_Dra_000005,-1.95,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,-0.34
SAGA_Dra_000007,-1.73,
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,-0.33
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,0.14
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-0.35
SAGA_Dra_000010,-1.41,
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,-0.16
SAGA_Dra_000011,-2.56,
SAGA_Dra_000012,-3.06,-0.16
SAGA_Dra_000012,-2.76,
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,-0.5
SAGA_Dra_000013,-1.59,
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-0.93
SAGA_For_000001,-1.21,-0.22
SAGA_For_000001,-0.92,-0.61
SAGA_For_000001,-0.89,
SAGA_For_000002,-1.6,-0.42
SAGA_For_000003,-0.67,0.11
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,-0.08
SAGA_For_000003,-0.35,
SAGA_For_000003,-0.62,
SAGA_For_000017,-0.5,
SAGA_For_000017,-0.72,
SAGA_For_000017,-0.71,-0.62
SAGA_For_000021,-1.01,
SAGA_For_000021,-1,
SAGA_For_000021,-1.12,-0.48
SAGA_For_000021,-0.93,
SAGA_For_000021,-0.94,
SAGA_For_000023,-0.99,
SAGA_For_000023,-0.9,
SAGA_For_000023,-1.06,-0.81
SAGA_For_000023,-1.13,
SAGA_For_000024,-0.6,
SAGA_For_000024,-0.63,
SAGA_For_000024,-0.74,-0.4
SAGA_For_000024,-0.31,
SAGA_For_000025,-0.7,
SAGA_For_000025,-1.01,
SAGA_For_000025,-0.91,
SAGA_For_000025,-0.97,-0.63
SAGA_For_000025,-0.89,
SAGA_For_000025,-0.79,
SAGA_For_000025,-1.01,
SAGA_For_000030,-0.5,
SAGA_For_000030,-0.66,-0.46
SAGA_For_000030,-0.59,
SAGA_For_000049,-1,
SAGA_For_000049,-0.91,-0.64
SAGA_For_000049,-0.82,
SAGA_For_000077,-0.8,
SAGA_For_000077,-0.92,-0.38
SAGA_For_000092,-1.07,
SAGA_For_000092,-1.02,-0.76
SAGA_For_000107,-0.6,
SAGA_For_000107,-0.62,-0.61
SAGA_For_000117,-0.8,
SAGA_For_000117,-0.85,
SAGA_For_000117,-0.86,-0.57
SAGA_For_000243,-0.3,-1.2
SAGA_For_000243,-0.92,
SAGA_For_000301,-0.7,-1.13
SAGA_For_000301,-0.82,
SAGA_For_000306,-0.82,-0.56
SAGA_For_000306,-0.86,
SAGA_For_000322,-0.62,-1.22
SAGA_For_000322,-0.97,
SAGA_For_000323,-0.74,-0.61
SAGA_For_000323,-0.85,
SAGA_For_000346,-0.88,-0.72
SAGA_For_000346,-0.95,
SAGA_For_000378,-0.82,
SAGA_For_000378,-0.82,-0.47
SAGA_For_000378,-0.74,
SAGA_For_000381,-0.64,
SAGA_For_000381,-0.67,-0.2
SAGA_For_000381,-0.82,
SAGA_For_000390,-0.88,-0.56
SAGA_For_000390,-0.61,
SAGA_For_000397,-0.7,-0.59
SAGA_For_000397,-0.76,
SAGA_For_000399,-0.63,-0.31
SAGA_For_000399,-0.49,
SAGA_For_000407,-1.53,
SAGA_For_000407,-1.52,0.14
SAGA_For_000407,-1.75,
SAGA_For_000415,-0.72,
SAGA_For_000415,-0.73,-0.38
SAGA_For_000415,-0.62,
SAGA_For_000415,-0.77,
SAGA_For_000421,-0.71,
SAGA_For_000421,-0.69,-0.39
SAGA_For_000421,-0.65,
SAGA_For_000424,-0.59,
SAGA_For_000424,-0.75,-0.27
