Name,ecc_mean,rperi_mean(kpc)
2MASS J08155667-2204105,0.719436357,1.659258158
2MASS J08393460-2122069,0.931060889,0.397176834
2MASS J08594093-1415151,0.891533107,0.853155295
2MASS J09185890-2311511,0.830714157,4.071390948
2MASS J09255655-3450373,0.853880105,0.854196907
2MASS J09261133-1526232,0.923820851,0.800350124
2MASS J09284944-0738585,0.417832334,3.996603012
2MASS J09364069-2038386,0.575711533,2.862463222
2MASS J09463483-0626532,0.883882195,0.865231632
2MASS J09544277+5246414,0.371634994,6.192773814
2MASS J09574607-3923072,0.511897967,2.916997976
2MASS J09580181-1446137,0.534740528,4.55776763
2MASS J10025125-4331098,0.920438875,0.375841304
2MASS J10044858-2706500,0.773897513,1.189368398
2MASS J10063414-7030212,0.465558886,3.015439944
2MASS J10082492-2314124,0.459406029,3.694818256
BPS BS 15621-047,0.219802325,6.447823138
2MASS J10121964-3221347,0.916547653,0.676430671
2MASS J10191573-1924464,0.339824948,4.407647386
2MASS J10194932-4900584,0.987853388,0.100792725
2MASS J10223779-3400209,0.803188673,0.934171036
2MASS J10302845-7543299,0.901509151,0.460639728
2MASS J10345348-1117221,0.829565473,0.926586611
2MASS J10362687-3746174,0.768068398,1.203740866
2MASS J10401894-4106124,0.317943504,8.001637425
HE 1044-2509,0.176339156,7.052688737
2MASS J10492192-1154173,0.919909732,0.360308883
2MASS J10513692-2115466,0.602480832,2.216940668
SMSS J105320.99-435300.1,0.986909138,7.023757186
J1054+0528,0.499383458,3.515461247
2MASS J10594136-2052253,0.789953138,1.089532468
2MASS J11014865-3749526,0.746621094,1.647225212
2MASS J11165400-7250160,0.781572278,0.971599728
LAMOST J112456.61+453531.,0.480188119,5.167706947
2MASS J11301705-1449325,0.266646225,5.475318422
2MASS J11303693+0224037,0.936493891,0.3772285
2MASS J11370170-5401298,0.556340872,2.547060053
2MASS J11404726-0833030,0.890330667,0.477982481
2MASS J11404944-1615396,0.983167933,0.091329512
BD+26:2251,0.935782283,0.858037062
2MASS J11444086-0409511,0.557524211,8.331144333
2MASS J11444480-1128167,0.932967548,0.438071328
2MASS J11463882-0422395,0.897747975,0.512967227
2MASS J11471027+0341265,0.644633538,5.621852145
2MASS J11472988-0521444,0.895232736,1.343963178
2MASS J11510227-6940416,0.962896948,0.140028491
HD 103095,0.864598679,1.409315344
2MASS J11543613-0133450,0.971728051,0.523432747
2MASS J12044314-2911051,0.658352416,2.443844988
2MASS J12045624-0759232,0.79246515,3.660213957
2MASS J12070990-3653243,0.6686115,1.59532796
2MASS J12091322-1415313,0.713998346,1.74835133
2MASS J12102259-4902190,0.939274105,0.462470284
HD 106373,0.882011792,1.130267824
HD 107752,0.497458643,3.728234854
2MASS J12233047-4216365,0.705531672,2.331644397
2MASS J12255123-2351074,0.22630265,5.879180994
HD 108317,0.462093073,3.525156188
HD 108577,0.602387159,3.278744946
2MASS J12292696-0442325,0.800596104,1.89438984
HE 1226-1149,0.415878428,8.870175085
2MASS J12341308-3149577,0.579735755,2.67780741
