# Object,[Fe/H],[Co/Fe]
SAGA_Scl_000448,-3.45,-0.3
SAGA_Scl_000448,-3.35,
SAGA_Scl_000450,-3.22,-0.14
SAGA_Scl_000450,-3,
SAGA_Scl_000450,-2.81,
SAGA_Scl_000452,-3.52,0.7
SAGA_Scl_000452,-3.91,
SAGA_UMi_000001,-1.61,
SAGA_UMi_000001,-1.68,-0.01
SAGA_UMi_000001,-1.67,-0.25
SAGA_UMi_000001,-1.47,
SAGA_UMi_000001,-1.6,
SAGA_UMi_000002,-2.2,
SAGA_UMi_000002,-1.91,-0.22
SAGA_UMi_000002,-2.01,
SAGA_UMi_000002,-2.19,
SAGA_UMi_000004,-2.1,
SAGA_UMi_000004,-2.01,0.19
SAGA_UMi_000004,-1.95,
SAGA_UMi_000004,-1.68,
SAGA_UMi_000006,-1.47,
SAGA_UMi_000006,-1.45,-0.34
SAGA_UMi_000006,-1.51,-0.09
SAGA_UMi_000006,-1.34,
SAGA_UMi_000006,-1.55,
SAGA_UMi_000008,-2.47,0.37
SAGA_UMi_000025,-2.48,0.51
SAGA_UMi_000034,-3.13,-0.07
SAGA_UMi_000038,-3.14,-0.03
SAGA_UMi_000038,-3.45,
SAGA_UMi_000082,-1.6,-0.15
SAGA_UMi_000098,-1.4,-0.38
SAGA_UMi_000151,-2.2,-0.1
SAGA_UMi_000221,-2.13,0.08
SAGA_UMi_000222,-1.96,-0.03
