JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Si/Fe
1288,ROE14b,CS22888-047,BPS_CS_22888-0047, -2.54,0.15
1290,ROE14b,CS22889-050,BPS_CS_22889-0050, -3.09,0.31
1291,ROE14b,CS22890-011,BPS_CS_22890-0011, -2.68,0.32
1294,ROE14b,CS22892-025,BPS_CS_22892-0025, -2.78,0.45
1296,ROE14b,CS22893-005,BPS_CS_22893-0005, -2.99,0.78
1299,ROE14b,CS22893-010,BPS_CS_22893-0010, -3.12,0.85
1301,ROE14b,CS22894-004,BPS_CS_22894-0004, -2.96,0.53
1302,ROE14b,CS22894-019,BPS_CS_22894-0019, -2.98,0.74
1304,ROE14b,CS22894-049,BPS_CS_22894-0049, -2.84,0.68
1305,ROE14b,CS22896-015,BPS_CS_22896-0015, -2.85,0.65
1306,ROE14b,CS22896-055,BPS_CS_22896-0055, -2.52,0.09
1308,ROE14b,CS22896-110,BPS_CS_22896-0110, -2.85,0.83
1309,ROE14b,CS22896-115,BPS_CS_22896-0115, -2.82,0.6
1310,ROE14b,CS22896-136,BPS_CS_22896-0136, -2.41,0.62
1314,ROE14b,CS22898-043,BPS_CS_22898-0043, -2.83,0.04
1315,ROE14b,CS22898-047,BPS_CS_22898-0047, -3.51,0.82
1318,ROE14b,CS22940-077,BPS_CS_22940-0077, -3.1,0.34
1320,ROE14b,CS22940-121,BPS_CS_22940-0121, -3.14,0.75
1323,ROE14b,CS22941-027,BPS_CS_22941-0027, -2.71,0.03
1326,ROE14b,CS22943-059,BPS_CS_22943-0059, -2.95,0.36
1327,ROE14b,CS22943-132,BPS_CS_22943-0132, -2.63,0.76
1331,ROE14b,CS22944-014,BPS_CS_22944-0014, -2.64,0.49
1332,ROE14b,CS22944-061,BPS_CS_22944-0061, -2.96,0.54
1335,ROE14b,CS22945-031,BPS_CS_22945-0031, -3.29,0.44
1337,ROE14b,CS22945-056,BPS_CS_22945-0056, -2.82,0.05
1338,ROE14b,CS22945-058,BPS_CS_22945-0058, -2.98,0.17
1340,ROE14b,CS22945-063,BPS_CS_22945-0063, -2.84,0.4
1344,ROE14b,CS22947-187,BPS_CS_22947-0187, -2.58,0.8
1350,ROE14b,CS22948-093,BPS_CS_22948-0093, -3.32,0.08
1353,ROE14b,CS22949-030,BPS_CS_22949-0030, -3.01,0.64
1354,ROE14b,CS22951-005,BPS_CS_22951-0005, -2.74,0.4
1355,ROE14b,CS22951-059,BPS_CS_22951-0059, -2.84,0.85
1356,ROE14b,CS22894-023,BPS_CS_22952-0011, -3.14,0.41
1357,ROE14b,CS22954-004,BPS_CS_22954-0004, -3.0,0.43
1361,ROE14b,CS22955-174,BPS_CS_22955-0174, -3.1,0.37
1362,ROE14b,CS22956-015,BPS_CS_22956-0015, -2.81,0.42
1363,ROE14b,CS22956-021,BPS_CS_22956-0021, -2.73,0.42
1365,ROE14b,CS22956-062,BPS_CS_22956-0062, -2.75,0.73
1366,ROE14b,CS22956-081,BPS_CS_22956-0081, -2.71,0.17
1368,ROE14b,CS22956-106,BPS_CS_22956-0106, -2.69,0.43
1369,ROE14b,CS22956-110,BPS_CS_22956-0110, -3.15,0.0
1370,ROE14b,CS22956-114,BPS_CS_22956-0114, -3.19,0.68
1371,ROE14b,CS22957-019,BPS_CS_22957-0019, -2.43,0.58
1372,ROE14b,CS22957-024,BPS_CS_22957-0024, -2.91,0.42
1373,ROE14b,CS22957-036,BPS_CS_22957-0036, -2.28,0.44
1374,ROE14b,CS22958-037,BPS_CS_22958-0037, -2.51,0.4
1375,ROE14b,CS22958-041,BPS_CS_22958-0041, -3.1,0.39
1376,ROE14b,CS22958-052,BPS_CS_22958-0052, -2.62,0.43
1378,ROE14b,CS22958-065,BPS_CS_22958-0065, -2.29,0.58
1379,ROE14b,CS22958-074,BPS_CS_22958-0074, -2.67,0.53
1381,ROE14b,CS22959-139,BPS_CS_22959-0139, -2.67,0.24
1384,ROE14b,CS22960-029,BPS_CS_22960-0029, -3.05,0.31
1386,ROE14b,CS22964-115,BPS_CS_22964-0115, -2.82,0.38
1387,ROE14b,CS22964-176,BPS_CS_22964-0176, -2.56,0.45
1388,ROE14b,CS22964-183,BPS_CS_22964-0183, -3.01,0.29
1390,ROE14b,CS22964-214,BPS_CS_22964-0214, -2.95,0.38
1396,ROE14b,CS22965-054,BPS_CS_22965-0054, -3.17,0.5
1400,ROE14b,CS22968-001,BPS_CS_22968-0001, -3.12,0.44
1401,ROE14b,CS22968-026,BPS_CS_22968-0026, -2.57,0.45
1402,ROE14b,CS22968-029,BPS_CS_22968-0029, -3.1,0.69
1403,ROE14b,CS29493-023,BPS_CS_29493-0023, -2.89,0.47
1404,ROE14b,CS29493-050,BPS_CS_29493-0050, -2.92,0.42
1405,ROE14b,CS29493-062,BPS_CS_29493-0062, -2.76,0.53
1406,ROE14b,CS29493-094,BPS_CS_29493-0094, -2.66,0.35
1409,ROE14b,CS29499-003,BPS_CS_29499-0003, -2.51,0.37
1410,ROE14b,CS29499-058,BPS_CS_29499-0058, -2.81,0.43
1411,ROE14b,CS29501-032,BPS_CS_29501-0032, -2.92,0.35
1413,ROE14b,CS22937-072,BPS_CS_29501-0051, -2.72,0.65
1414,ROE14b,CS29504-004,BPS_CS_29504-0004, -2.38,0.1
1419,ROE14b,CS29506-007,BPS_CS_29506-0007, -3.24,0.29
1425,ROE14b,CS29506-090,BPS_CS_29506-0090, -3.21,0.49
1428,ROE14b,CS22886-003,BPS_CS_29512-0030, -2.92,0.6
1432,ROE14b,CS29513-003,BPS_CS_29513-0003, -2.47,0.6
1434,ROE14b,CS29513-015,BPS_CS_29513-0015, -2.63,0.38
1439,ROE14b,CS29517-042,BPS_CS_29517-0042, -2.53,0.56
1444,ROE14b,CS22890-064,BPS_CS_30306-0117, -3.12,0.5
1451,ROE14b,CS30339-073,BPS_CS_30339-0073, -3.93,0.82
1453,ROE14b,CS30492-016,BPS_CS_30492-0016, -3.3,0.87
1454,ROE14b,CS22888-014,BPS_CS_30493-0023, -2.73,0.49
1455,ROE14b,CS30493-071,BPS_CS_30493-0071, -2.82,0.46
1482,ROE14b,CS29497-030,CD-24_266, -2.52,0.52
1490,ROE14b,HE0056-3022,CD-30_298, -3.77,0.79
1492,ROE14b,CS29509-027,CD-31_306, -2.42,0.24
1509,ROE14b,CD-38245,CD-38_245, -4.59,0.53
1520,ROE14b,CS22891-184,DENIS_J192612.3-603406, -2.68,0.32
1522,ROE14b,CS22951-077,DENIS_J215753.2-430808, -2.54,0.54
1554,ROE14b,G214-1,G_214-1, -2.29,0.65
1561,ROE14b,G25-24,G_25-24, -2.11,0.39
1563,ROE14b,CS22180-014,G_272-44, -2.86,0.71
1571,ROE14b,G4-37,G_4-37, -2.73,0.48
1575,ROE14b,G90-3,G_90-3, -2.4,0.5
1578,ROE14b,CS29514-007,GD_678, -2.83,0.26
1591,ROE14b,HD106373,HD_106373, -2.61,0.21
1609,ROE14b,HD108317,HD_108317, -2.62,0.59
1637,ROE14b,HD11582,HD_11582, -1.84,0.49
1671,ROE14b,HD122563,HD_122563, -2.97,0.62
1688,ROE14b,HD126587,HD_126587, -3.29,0.84
1702,ROE14b,HD128279,HD_128279, -2.52,0.54
1721,ROE14b,HD13979,HD_13979, -2.97,0.58
1772,ROE14b,HD175606,HD_175606, -2.39,0.5
1775,ROE14b,HD178443,HD_178443, -1.99,0.56
1788,ROE14b,HD186478,HD_186478, -2.75,0.7
1814,ROE14b,HD196944,HD_196944, -2.39,0.7
